nummer,datum,inhoud,folio nr,register nr,vervolg nr,bron,bijzonderheden,,
9002459,1489-11-24,"Adriaen Boudynsz en Jan Boudynsz,  gebroeders, zijn sculdig aan Steven Wybrantsz 11 £ 5 sc gr Vls. Onderpand: t Rynscip. Testes: Cornelis Jansz en Geryt Baertsz. Verleden 24 Nov. Jan Boudynsz is sculdich zyn broeder Adriaen Boudynsz 9 £ gr Vls. Onderpand: t Rynscip. [als voren]          ",24v,1489-1492,"XXVII, XXVIII",G.A. Haarlem Transportregister Inv F 351,,,
9002460,1489-11-26,"Pieter Claesz Duijnnebreijn (?) is sculdig Willem Jansz Roode 7 £ 15sc gr Vls. Onderpand: t Rynscip. Testes: Vrederick Baers, Pieter Kijfsz en Willem Henricsz; 26 Nov.    ",25,1489-1492,XXVIII,G.A. Haarlem Transportregister Inv F 351,,,
9002461,1489-11-26,"Geryt Vechtersz schuldig Nan Symonsz sceepmaker 80 R gld. Onderpand: het Rijnscip dat hij tevoren van hem gecoft ende hem te dancke gelevert is. Testes: Jan Lourysz, Pieter Kijftsz; 26 Nov.   ",25,1489-1492,XXVIII,G.A. Haarlem Transportregister Inv F 351,,,
9002462,1489-11,"Claes Jan Mathysz aan Jan Dircsz de Bruijn een huis en erf in die Smeetstraet, an d'een side: Geryt Woutersz, an d'ander: Engbert Jansz, afterwerts streckende an der stege schole [!]; 409 R gld        ",25,1489-1492,XXVIII,G.A. Haarlem Transportregister Inv F 351,,,
9002463,1489-11,"Rem Jansz, messemaker en Henric Vranckenz de goutsmit lijen onder te hebben van Claes Pietersz wegen 2 £ gr Vls, die zij onder namen in de Lucasmarct anno 1488 l.l. doen de Rynsgulden in goude dede 48 stuivers. Terug te betalen op die basis         ",25,1489-1492,XXVIII,G.A. Haarlem Transportregister Inv F 351,,,
9002464,1489-12,"Pieter Leije aan Lourys Jansz een huis en erf in de Geerstraet, an d'een zide: Mathys Heijnricsz, an d'ander: Aecht van Backom, afterwerts streckende an coman Allerts erve; 83 nobelen   ",25v,1489-1492,XXVIII,G.A. Haarlem Transportregister Inv F 351,,,
9002465,1489-12,"Wendelmoet Claesdochter Pieter Pietersz weduwe met Pieter Claesz als voogd, bespreekt om sonderlinge zaken wil, in rechten testament aan Geryt en Willem, Pieter Pieterszoens haer zoens twee kinderen, dat zij mit eenre handt intasten sullen mogen na hare doot in haere aftergelaten goeden, in allen scijn of hoer vader in levende lijve waer ende hij op te stoel sate, zoeveel als Griete des voers Wendelmoetsdochter, die t Utrecht in St Marie Magdalene klooster is             ",25v,1489-1492,XXVIII,G.A. Haarlem Transportregister Inv F 351,,,
9002466,1489-12-02,"Lijclaes Pietersz, van Sparendam, is sculdich Wolfaert Claesz die sceepmaker 102 R gld. Onderpand: Rynscip. Testes: Bouwen Claesz en Allart Gysbrechtsz; 2 Dec     ",25v,1489-1492,XXVIII,G.A. Haarlem Transportregister Inv F 351,,,
9002467,1489-12,"Aecht Jansdochter Willem Willemsz cussenwerkers weduwe voor haer zelve en voor haar zoon Jan Willemsz, daer zij met Claes Willemsz hant haers voechts voer geloefde te waren, verkoopt aan Willem Willemsz, haers mans zone, ⅝ deel van een huis en erf op tie oude Graft, an d'een side: Dirck Jansz, an d'ander: Wouter Rycoutsz, afterwerts streckende an Lijsbeth Rembrants weduwe; 89 R gld       ",26,1489-1492,"XXVIII, XXIX",G.A. Haarlem Transportregister Inv F 351,,,
9002468,1489-12,"Jacob van Assendelft verkoopt Jan Aerntsz de molenaer ⅔  van de molen,-werf, en -huys geheten de Smerin [?] gelegen buyten die Cruyspoirt, noord: O.Vr.gasthuis in St Jansstraet, zuid: die stege, oost: tselve gasthuis en Jan Kole, west: die heerweg    ",26,1489-1492,XXIX,G.A. Haarlem Transportregister Inv F 351,,,
9002469,1489-12,"Dirck Jansz aan Heertgen Jacobsz de mandemaker vier huizen en erven an malcanderen gelegen op Crayenhorstergraft, an d'een zide: St Margrietenconvent, an d'ander zide: de straet comende van de Croft an t smale bruggetgen, afterwerts streckende an Clemeijns Walichsdochter. Hiervoeren zal hij hem betalen 12 R gld sjaars zolang hij leeft         ",26,1489-1492,XXIX,G.A. Haarlem Transportregister Inv F 351,,,
9002470,1489-12,"Heertgen Jacobsz geeft zijn neve Dirck Jansz, tot hulpe van zijn titel en priesterlicke staet op te houden, t huijs mitten erve dat hij op ten dach van huijden bewoent, an die noordzijde van die Grote kerck binnen deser stede, an d'een zide: Alijt Cornelisdochter, an d'ander: Baernt Jacobsz, afterwaerts streckende an Geryt van Berckenrode Gerytsz. Welche huis en erf wel waerdich is 14 R gld sjaars. Dirc belooft op grond van deze brief geen aanspraak op de eigendom te maken            ",26v,1489-1492,XXIX,G.A. Haarlem Transportregister Inv F 351,,,
9002471,1489-12,Coman Dirc Dircsz is sculdich den deken en vinders van St Remynscappelle bij de Cleyne Houtpoort 32 R gld      ,26v,1489-1492,XXIX,G.A. Haarlem Transportregister Inv F 351,,,
9002472,1489-12,"Jacob Wolbrantsz verkoopt Willem Pietersz een schuer mitten erve ende cuijpen daer in wesende, op tie Voldersgraft, an d'een side: Vrederick Bertolmeusz, an d'ander: Willem Lambertsz, afterwaerts streckende an here Jan van der Horst, priester   ",26v,1489-1492,XXIX,G.A. Haarlem Transportregister Inv F 351,,,
9002473,1489-12,"Pieter Symonsz an Symon Claesz een huis en erf op Bakenessergraft, an d'een zide: Wigger Gysbrechtsz, an d'ander: Frans Jansz, afterwaerts streckende andeselve Wigger mitten ½  gevel; 120 R gld        ",26v,1489-1492,XXIX,G.A. Haarlem Transportregister Inv F 351,,,
9002474,1489-12,"Geryt Woutersz verkoopt heer Jan Mertsz priester en Willem Maertsz, gebroeders, een huis en erf in die Grote Houtstrate, an d'een side: Willem Baertz, an d'ander: Arijs Valkenz, after streckende an Lysbet Martijn Willemsz met haer kinderen      ",27,1489-1492,XXX,G.A. Haarlem Transportregister Inv F 351,,,
9002475,1489-12,"Pieter Willemsz, buyten Scalcwykerpoort, lijt sculdig te wesen Geryt van Berkenrode Gerijtsz 6 R gld, te betalen etc.   ",27,1489-1492,XXX,G.A. Haarlem Transportregister Inv F 351,,,
9002476,1489-12,"Gijsbrecht Michielsz aan Aecht Cuijnredijcx een huis en erf an die oude Raembrugge, an d'een zide: Dirck Romersz, an d'ander: die stege, afterwerts streckende an Belije van Dort       ",27,1489-1492,XXX,G.A. Haarlem Transportregister Inv F 351,,,
9002477,1489-12,"Haze Dirck Willemsz weduwe met haar neef Lambert Lambertsz als voogd, verkoopt Hillegond Pietersdochter Bertolmeus Arijsz weduwe een huis en erf in Vranckenstege van Kijeten, an d'een zide: Jan Florisz, an d'ander: Jan Smit, afterwaerts streckende an mr Gerijt surgien. Ende sal hebben Geryt Symon Buermansz 52½ R gld te betalen etc. Voogd: coman Jan Claesz       ",27,1489-1492,XXX,G.A. Haarlem Transportregister Inv F 351,,,
9002478,1489-12,Jan Ysbrantsz is sculdich Gysbrecht Michielsz 32 R gld ,27,1489-1492,XXX,G.A. Haarlem Transportregister Inv F 351,,,
9002479,1489-12-10,"Melis Jacobsz, poorter deser stede, is sculdich Aef Dirck Vredericsz weduwe 18 £ 5 sc gr Vls. Testes: Jacob Aemsz ende Govert Garbrantsz. Verleden 10 Decembri         ",27v,1489-1492,XXX,G.A. Haarlem Transportregister Inv F 351,,,
9002480,1489-12-11,Jan Heertgensz is sculdig Jan Jansz van Leyden 36 R gld. Onderpand: de ever. Testes: Pieter Jansz en Bertelmeus Willemsz; 11 Decembri ,27v,1489-1492,XXX,G.A. Haarlem Transportregister Inv F 351,,,
9002481,1489-12,"Badeloege Lutger Jansz weduwe met haer zoen Joest Lutgersz als voogd, verkoopt Claes Dircsz t Fret een huis en erf in de Afterstraet, an d'een zide: Claes Braeu en Aernt van Griecken, an d'ander: Joest Jansz en Melijs die scipper, afterwaerts streckende an Claes Symonsz. Mitter bruyckwaer van der stege breet dat men een berry doerdragen mag, streckend an die Spaerne; 54 R gld              ",27v,1489-1492,XXX,G.A. Haarlem Transportregister Inv F 351,,,
9002482,1489-12-12,"Claes Michielsz is sculdig Symon Jansz 30 R gld. Onderpand: de ever. Testes: Pieter Kijfsz, Pieter Gerytsz Slijm ende Willem Pietersz van der Graft. Verleden 12 Dec.      ",28,1489-1492,XXX,G.A. Haarlem Transportregister Inv F 351,,,
9002483,1489-12-12,"Willem Gerytsz van Leijmuijden verkoopt Jan Wybrants 10 last graeuwe turf, te leveren van de eerste nieuwe turf 2 last ende de 8 last tussen dit en Paschen. Onderpand al zyn coeyen. Welverstaende dat noot ende weer en windt uytgesceiden zyn. Testes: Henric Dircsz, Symon Jansz Plemper en Pieter Kijfsz; 12 Dec.    ",28,1489-1492,"XXX, XXXI",G.A. Haarlem Transportregister Inv F 351,,,
9002484,1489-12,Jan Keijsersz de molenaer is sculdich Steffen Henricsz van geleend geld 50 R gld     ,28,1489-1492,XXXI,G.A. Haarlem Transportregister Inv F 351,,,
9002485,1489-12,"Rembrant Nannenz aan Pieter Willemsz een huis en erf in de Houtcoepstege, an d'een zide: Katrijn die brouster, an d'ander zide: Jan die snyder, after streckende an Bouwen Gerytsz    ",28,1489-1492,XXXI,G.A. Haarlem Transportregister Inv F 351,,,
9002486,1489-12,"Jaquemijn Pietersdochter van Reymerswale, Geryt Allartsz weduwe met Claes Suijckers hant haers voechts, lyt dat Katrijn Aelbrecht Gerijtszdochter haar voldaan heeft van de erfenis van haar broeder Cornelis Pietersz in zijn leven der voirs Katrynen man, aftergelaten ende geruymt heeft   [Katryn Albrecht Gerritsdochter, weduwe van Cornelis Pietersz, voldoet Jacquemyne van de erfenis van haar broer Cornelis]",28v,1489-1492,XXXI,G.A. Haarlem Transportregister Inv F 351,,,
9002487,1489-12,"Claes Roemersz de decker verkoopt Pieter Luytgensz die Vleijshouder een huis en erf met twee camer daer after an, in die Brede stege, an d'een zide: een huijs toebehorende St Luciencloester tot Aemsterdam, Dirck Jansz de decker, Gijsbrecht Michielsz, Belye van Dort, Lucye Lenarts weduwe, an d'ander side: Claes Dircsz Loefvelt, afterwaerts streckende an Otto de metselaer. Hij stelt him tot een waarborg zyn camer in St Maria Magdalenenstege          ",28v,1489-1492,XXXI,G.A. Haarlem Transportregister Inv F 351,,,
9002488,1489-12,"Zasse Jacobsz de decker aan Claes Reijnsz een huis en erf op Craijenhorstergraft, an d'een zijde: Dirc Jansz Moeijenkint, an d'ander zijde: Jan Claesz, afterwaerts streckende an Lysbeth Henric Sceepbrekers weduwe; 72 R gld  ",28v,1489-1492,XXXI,G.A. Haarlem Transportregister Inv F 351,,,
9002489,1489-12,"Wouter Vechtersz an Jan Lourysz een huis en erf op tie Spaerne, an d'een zide: Jan Lourysz, an d'ander zide: OLVr. Cappelle in die Camp en Jacob Haijcxz, streckende voir van de Spaerne after an die Voorcamp; 700 R gld     ",28v,1489-1492,XXXI,G.A. Haarlem Transportregister Inv F 351,,,
9002490,1489-12,"Symon Willemsz verkoopt Heinric Dircsz een huis en erf op ten Burchwal, an d'een zide: Pouwels Potter, an d'ander side: Gerijt Louwez, after streckende an Willem Gerijtsz; 73 R gld       ",29,1489-1492,XXXII,G.A. Haarlem Transportregister Inv F 351,,,
9002491,1489-12,Jacob Aemsz is sculdich Dirc Claesz 45 R gld ,29,1489-1492,XXXII,G.A. Haarlem Transportregister Inv F 351,,,
9002492,1489-12,"Pieter Luijtgensz verkoopt Maritgen Floris Hoonendochter een huis en erf mitten Vuijtlaet daer besyden an, op t Cleyne Heyligelant, an d'een side: Vrederick Hoon en Jan Broeder Dircsz, an d'ander side: Frans Henricsz de ballemaker en Ripprant Pietersz, afterwerts streckende met een huis en erf met de medebruyckwaer van een stege op t grote Heylige lant. Voogd: hoir neve Wouter Vechtersz; 319 R gld          ",29,1489-1492,XXXII,G.A. Haarlem Transportregister Inv F 351,,,
9002493,1489-12,Jan Eefsz is sculdich Griet Jan Luijtgensz weduwe 30 R gld   ,29,1489-1492,XXXII,G.A. Haarlem Transportregister Inv F 351,,,
9002494,1489-12-16,Geryt Sybrantsz is sculdich Adriaen Rembrantsz 21 £ gr Vls. Onderpand: Rynscip. Testes: Ysbrant van Spernewoude ende Jan van Rieck mit Pieter Kijftsz. Verleden 16 Dec. ,29v,1489-1492,XXXII,G.A. Haarlem Transportregister Inv F 351,,,
9002495,1489-12,"Lysbeth Henricsdochter met Lambrecht Camerouwer verkoopt an de H. Geestmeesters een huis en erf op Craijenhorstergraft, an d'een side: Aelbrecht Gerytsz de wever, an d'ander side: Duve Jan Scoutendochter, after streckende an Angnyeze Symonsdochter. Hiervoor zal zij hebben tot horen live 4 R gld             ",29v,1489-1492,XXXII,G.A. Haarlem Transportregister Inv F 351,,,
9002496,1489-12,"Claes Claesz verkoopt Garbrant Pietersz een huis en erf op Sceepmakersdyck, an d'een zide: Aelbrecht Gerytsz, an d'ander zide: Claes Jacobsz, [afterwerts] streckende an Aelbrecht Gerytsz voors; 27 R gld      ",29v,1489-1492,XXXII,G.A. Haarlem Transportregister Inv F 351,,,
9002497,1489-12,"Jan de bastaert van Brederode lijt zoe Geryt Wolfsz van Alphen sculdich is Jacob Pietersz en zyn broeder Gijsbrecht, 21 R gld tot 40 gr st te betalen binnen dese tijt ende d'octave van Pyncsteren naestcomende van lath [lanthure?], dat hij [Jan de bastaard] borg staat voor de betaling door Gerijt voorn.  [Gerrit Wolfsz van Alfen is van landhuur 21 R gld schuldig aan Jacob en zijn broer Gysbrecht Pietersz, borg is Jan de bastaard van Brederode]",29v,1489-1492,XXII,G.A. Haarlem Transportregister Inv F 351,,,
9002498,1489-12-19,"Claes Pietersz vuijten Blencvliet is sculdich Martijn Henricsz de sceepmaker 9 £ 10 sc gr Vls. Onderpand: Rynscip. Testes: Claes Kibbe, Pieter Kyfsz en Willem Jansz droechsceerder; 19 Dec       ",29v,1489-1492,XXII,G.A. Haarlem Transportregister Inv F 351,,,
9002499,1489-12,"Jan Lourijsz verkoopt Pieter Symonsz de maetselaer een huis en erf mitten broutouwe, op Bakenessergraft, an d'een zide: Jan Lubbrantsz, an d'ander zide: Cornelis Willemsz, afterwaerts streckende an Cornelis voirs; 300 R gld    ",30,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002500,1489-12,"Lourijs Jansz de metselaer aan Henric Gerijtsz ¼ deel van een huis en erf in de Corte Begynstrate, an d'een side: Guerte Vechters, an d'ander: Jacob Luijtgensz, after streckende an Jan Jansz Croen      ",30,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002501,1489-12,"Katryn Allart Dircsz weduwe met haar zoon Willem Allartsz als voogd, verkoopt haar zoon Jan Allartsz, ½ van een huis en erf op ten Burchwal, an d'een zide: Claes Jansz pottebacker, an d'ander: Pieter Huijge. Afterwaerts streckende an Roel Jansz       ",30,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002502,1489-12,Bouwen Florisz en zijn vrouw MaritgenTymansdochter vermaken elkander de bruyckwaer van al hun goederen ,30v,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002503,1489-12,Steffen Pietersz de vischcoper is sculdich Aernt Lambertsz 24 R gld  ,30v,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002504,1489-12-23,Thames Almersz is sculdich Wouter Willemsz van Poelenburch 8 £ gr Vls. Onderpand: het Rynscip dat hij van hem gecoft heeft. Testes: Florijs Reijersz en Jan Aelbrechtsz; 23 Dec.    ,30v,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002505,1489-12-23,"Dirc Claesz in die Wildeman oorkondt dat het Rynscip dat Adriaen Bort, van Delf, van hem gekocht heeft, vrij en onbelast is. Testes: Claes Kibbe en Pieter Kijfsz; 23 Dec.        ",30v,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002506,1489-12,Henric Buijs is sculdich Alijt Meeus Claesz weduwe 45 R gld    ,31,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002507,1489-12,Dirc Pietersz is sculdig Evert Pietersz 21 R gld    ,31,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002508,1489-12,"Willem Claesz de scoemaker zal Adriaen Rembrantsz leveren 3½ honderd [= 350] pond zoelleders, goet coopmans goet , vóór Pinxsteren   ",31,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002509,1489-12,"Claes Jan Govertsz verkoopt Roetger Jacobsz een huis en erf mit een broutouw en een schuer en erve besyden an, op tie oude Graft, an d'een side: Joost van Hillegom, an d'ander: Claes Hoon, afterwerts streckende an Jan Dircxz d'ellemaker         ",31,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002510,1489-12,"Claes Heer, de decker, verkoopt Govert Arijsz een huis en erf op die houck van St Cornelisstede [!] in die Houtstraet, an d'een side: Claes Gerytsz de wagenaar, an d'ander: de Va [rken?]stege, after streckende an Willem stratgen    ",31,1489-1492,XXIII,G.A. Haarlem Transportregister Inv F 351,,,
9002511,1489-12,Jacob Bertolmeeusz de cuijper is sculdig Dirck Havicxz 96 R gld als geleend geld om 8 R gld sjaars [Dec 1489]    ,31,1489-1492,XXXIV,G.A. Haarlem Transportregister Inv F 351,,,
9002512,1490-01-04,"Albrecht Jansz is sculdich Jan Garbrantsz 6 R gld. Onderpand: ever. Testes: Henric Ysbrantsz de timmerman, Dirc Jansz de Barbier; 4 Jan.",31v,1489-1492,XXXIV,G.A. Haarlem Transportregister Inv F 351,,,
9002513,1490-01,Henric Dircksz is sculdich Katrijn Dircsdochter Henric Gysbrechtsz weduwe 50 R gld   ,31v,1489-1492,XXXIV,G.A. Haarlem Transportregister Inv F 351,,,
9002514,1490-01,Gerijt Matheeusz is sculdich Katrijn Jansdochter 5 R gld     ,31v,1489-1492,XXXIV,G.A. Haarlem Transportregister Inv F 351,,,
9002515,1490-01,"Frans Jansz leent van Alyt Meeus Claesz weduwe 11 R gld nieuw geld, voor 3 jaar, voor 11 R gld sjaars [!]. Koopsom te betalen aan Alyt of aan haar dochter Yef Bertolmeusdochter      ",31v,1489-1492,XXXIV,G.A. Haarlem Transportregister Inv F 351,,,
9002516,1490-01,"Pieter Dircsz van Ylpendam en Willem Dircxz verkopen Jan Dircsz de metselaer een huis en erf zonder broutou, op d'oude Graft, an d'een side: Jan Dircsz, an d'ander: Dirc Jansz Saftgen, after streckende an Dirc Jansz voirs, mitter bruyckwaer van der stege after uijtgaende in die Camp; 210 R gld        ",32,1489-1492,XXXIV,G.A. Haarlem Transportregister Inv F 351,,,
9002517,1490-01,Vrederick Bertolmeeusz is sculdig zijn neve Luyt Symonsz 60 R gld    ,32,1489-1492,XXXIV,G.A. Haarlem Transportregister Inv F 351,,,
9002518,1490-01,"Arijs Gysbrechysz aan Pieter Jansz van Ylpendam 1/28 deel van den huis en erf in de Begynestraet, an d'een side: Ysbrant van Sperwoude, an d'ander side: Aelbert van Assendelft, afterwaerts streckende an Dirck van Bekesteyn, Wouter van Bekesteyn en Lourijs steenhouder. Noch 1/14 deel van een boomgaard buiten St Janspoort op ter stedecingel, west: Jan Herpersz. Streckende van de cingel after an Wouter van Bekesteijn; ende is al vrij, gelijc en in allen schyn als him dat anbestorven is geweest zowel de huijsinge als de boemgaert by dode van zijn oudtoem Ysbrant vuyten Hage      ",32,1489-1492,XXXIV,G.A. Haarlem Transportregister Inv F 351,,,
9002519,1490-01,Joest Geerlofsz is sculdich Jan Gysbrechtsz 78 R gld. Onderpand: zijn huis by Scalcwyckerpoert    ,32,1489-1492,XXXIV,G.A. Haarlem Transportregister Inv F 351,,,
9002520,1490-01,"Dirck Gerijtsz voor ½, Dirck Symonsz en Catrijn Claes Beecken weduwe met haar neef de voirs Dirck Symonsz als voogd voor de andere ½, verkopen aan Ysbrant Pietersz een huis en erf op t Grote Heiliglant, an d'een side: Alyt Nuwejans, an d'ander: Evert Pietersz, after streckende an Pieter van Nuijs; 32 R gld          ",32v,1489-1492,"XXXIV, XXXV",G.A. Haarlem Transportregister Inv F 351,,,
9002521,1490-01,"Arijs Dircxz aan Dirck Garbrantsz een huis en erf in de Grote Houtstraet, an d'een zide: Jacob Gerytsz Wij, an d'ander: Claes van Woude, after streckende an Claes Suijcker; 165 R gld ",32v,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002522,1490-01,"Claes Gerytsz aan Jan Dircsz en Geryt Woutersz de straetmaker een huis en erf tusschen de Cleyne Houtpoort en t Spaerne in de straet gaende langs de muer, an d'een syde: Geryt Woutersz, an d'ander: de appelarije, afterwaerts streckende an Dirck Roest; 29 R gld       ",32v,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002523,1490-01,"Dirck Claesz de Vrijese en Jan Broedersz als testamentoirs [ontvangen van ? werkwoord ontbreekt!] van Geertruid Jan Dircsz die Engelmans weduwe, de somma van 103 R gld lichts gelts om daarmede te betalen het testament dat de voirs. Jan Dircsz in zyn leven gemaakt heeft        ",32v,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002524,1490-01,Adriaen Rembrantsz is sculdich Alyt mr Ysbrants in die Catten weduwe 50 R gld   ,33,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002525,1490-01-16,"Jan Aerntsz is sculdich  mr Jan Gerytsz, surgijn, 18 R gld 1 oort. Testes: Dirc van Bekesteyn en Pieter Kijftsz; 16 Januari      ",33,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002526,1490-01,"Symon Koenez, poorter, is sculdich Roelof Jansz 78 R gld. Onderpand: den ever en een custing die hij tot Leijmuijden bezit. Testes: Pieter Kijftsz en Pieter Claesz maetselaer        ",33,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002527,1490-01-18,"Cornelis Adriaensz, poorter, verklaart zich voldaan van en beloeft vrijwaring voor ""een craijer mit sijn gewande"" die hij aan Adriaen stoeldraijer, poorter deser stede, en Claes Willemsz, poorter van Leyden, verkocht heeft. Testes: Claes Kibbe en Pieter Kijftsz; 18 Jan.         ",33,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002528,1490-01-16,Symon Koenenz is sculdich Claes Michielsz 16 R gld. Onderpand: ever; 16 Jan.  ,33v,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002529,1490-01,"Jan Arysz aan Jacob Symonsz een huis en erf in de Aneganck, an d'een side: Pieter Pelser, an d'ander: Dirc Gysbrechtsz, afterwerts streckende an mr Gerijt Alewer (?); 43 R gld    ",33v,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002530,1490-01-18,"Willem Gerytsz van Leijmuijden sculdich aan Claes Bertolmeusz, poorter van Haerlem, 9½ R gld. Onderpand: de Vletscuijt die hy daarvoor gekocht heeft. Testes: Jan Broeder Dircsz, Pieter Coster en Martyn Jansz; 18 Jan.     ",33v,1489-1492,XXXV,G.A. Haarlem Transportregister Inv F 351,,,
9002531,1490-01,Willem Baertsz sculdich aan Rembrant Jansz 70 R gld. Onderpand: zijn woonhuis en erve in die Grote Houtstraat ,33v,1489-1492,XXXVI,G.A. Haarlem Transportregister Inv F 351,,,
9002532,1490-01,"Willem Claesz van Pelanen lijt zoe zijn moeder Ymme Rutgersdochter hem op t stuk ende questie die hij gehadt heeft tegen Jan Florysz, dat hij daeromme zijn moeder lijt sculdich te wesen dezelve renten die hij te live heeft op t huijs mitten erve dat heer Snel bewoent omme die totter somme 25 R gld gouden gr jaars te betalen ter tijt toe dat die betaelt zijn. Verleden 26 Jan.      ",33v,1489-1492,XXXVI,G.A. Haarlem Transportregister Inv F 351,,,
9002533,1490-01,Jan Bruijn Hermansz aan Aelbrecht Jansz alzulke rechtvordering en brieve als Pouwels Aernts van Noijen hem onder scepenenbrieve deser stede vercoft gehadt ende hij sprekende ende gevordert had op Gerijt Meynaertsz en zijn goederen    ,34,1489-1492,XXXVI,G.A. Haarlem Transportregister Inv F 351,,,
9002534,1490-01,"Jan Ripprantsz aan Claes Jansz van Scalcwyck een huis en erf in die Clercxstege, an d'een zyde: Pieter Jansz van Alckmade, an d'ander: Nan Hermansz, after streckende an Rem Jansz    ",34,1489-1492,XXXVI,G.A. Haarlem Transportregister Inv F 351,,,
9002535,1490-01,"Aecht Willemsdochter, met Pieter Kijfsz als gecoren voogd, is sculdich Janne Dirc Hoonen weduwe 50 R gld  ",34,1489-1492,XXXVI,G.A. Haarlem Transportregister Inv F 351,,,
9002536,1490-01,"Jacob van Poelenburch als vader en voogd van zijnre dochter Yde, begyn op ten Hof binnen deser stede, en Ysbrant van Spernewoude als man en voogd van jvr Haze van Poelenburch, verkopen aan Henric die leijdecker een huis en erf in die Beginestrate, an d'een zide: die erfnamen van Ysbrant uyten Hage, an d'ander zide: Louris die steenhouder, after streckende an die erfnamen voirs. Belast met 7 gr sjaars; 158 R gld        ",34,1489-1492,XXXVI,G.A. Haarlem Transportregister Inv F 351,,,
9002537,1490-01,"Willem Willemsz voor zich zelve en zijn zuster Angniese Willemsdochter, medesuster in St Cecilienvonvent binnen deser stad die echter nog geen professie gedaan heeft, erkent dat Aecht Jansdochter Willem Willemsz weduwe hun voldaan heeft de erfenis van huin beider vader wijlen Willem Willemsz, Aechte's geechte man           ",34v,1489-1492,XXXVI,G.A. Haarlem Transportregister Inv F 351,,,
9002538,1490-01-23,Symon Jansz Pans is sculdich Clemeyns Mathysdochter 12 R gld. Verleden 23 Jan.  ,34v,1489-1492,XXXVI,G.A. Haarlem Transportregister Inv F 351,,,
9002539,1490-01,Jan Jansz die lijndraijer is sculdich Jan Jacobsz geheten Jan Comansz van Heemstede 60 R gld ,34v,1489-1492,XXXVI,G.A. Haarlem Transportregister Inv F 351,,,
9002540,1490-01,"Henric Rutgersz verkoopt Jan Arijsz een huis en erf in die Cruijsstraet, an d'een side: Dirc Dircsz smit, an d'ander: Jan Jansz wielmaker. After streckende an St Jans muer; 125 R gld     ",34v,1489-1492,XXXVII,G.A. Haarlem Transportregister Inv F 351,,,
9002541,1490-01,Willem Baertsz is sculdich Rembrant Jansz 70 R gld ,34v,1489-1492,XXXVII,G.A. Haarlem Transportregister Inv F 351,,,
9002542,1490-01,"Aernt Jansz verkoopt Geryt Jansz en Symon Garbrantsz, beyde molenaers, ½ van de molen, -huijs en - werf, op die Scheepmakersdyk, noord: Jan Lambertsz en Jacob Aerntsz, zuid: Claes Pietersz Otter en Vechter Jacobsz, streckende van Jan Lambertsz oostwaerts an der stede vest behoudens Jan Lambertsz zijn notwech over de molenwerf ende Jacob Aerntsz mit sinen huyse de bruyckwaer van de stege besijden de molen gaende. Belast met ½ van 18 sc en ½ capoen jaars. Totaal 160 R gld te betalen wanneer de voors. Aernt Jansz van Roem gekomen sal wesen binnen deser stede        ",34v,1489-1492,XXXVII,G.A. Haarlem Transportregister Inv F 351,,,
9002543,1490-01,"Willem Gerytsz voor hemzelf en zyn zuster Aeff Jan Bruijnen met haar broeder Willem voirs. als voogd, verkopen Pieter Willemsz die scilder een huis en erf in die Grote Houtstraet. Mit een huis en erf in die Geerstraet. Voor, an d'een side: Lambrecht Lambertsz, an d'ander side: Willem Nanningsz. After, an d'een side: Vranck Wijntgenz, an d'ander side: Jan Dircsz, after streckende in die Geerstraet; 90 nobelen         ",35,1489-1492,XXXVII,G.A. Haarlem Transportregister Inv F 351,,,
9002544,1490-01-30,"Arys Claesz, scipper, van Alckmaer, is sculdich Cornelis Heynricsz, poorter van Haerlem, 75 R gld. Onderpand: t Rijnscip daarvoer gecoft. Testes: Bertolmeus Willemsz juwelier en Pieter Pietersz; 30 Jan.        ",35,1489-1492,XXXVII,G.A. Haarlem Transportregister Inv F 351,,,
