id,datum,naam,inhoud,bron,getuigen,bijzonderheden,,,,,,
1121189,1348,"Merode, van","Thierry van Milburg, chevalier, abandonne à Guillaume margrave de Juliers, certains biens de sa femme Metze van Merode: dat alde guyt van Luppe, telque le comt Guillaume van Wied l'avait possedé",De Raadt II p 480/Düss Jul Berg no 510,,,,,,,,
1121190,1351,"Merode, van","Carselis van Meroede, chevalier, drossard de Juliers, scelle pour Broichger kelnere zu Müllenark; 1358: il scelle un acte d'Emelrich van Ringsheim",De Raadt II p 466/Düss Jul Berg no 546,,,,,,,,
1121191,1361,"Merode, van","Ricoud van Merode, chevalier, scelle un acte du duc de Juliers",De Raadt II p 466,,,,,,,,
1121192,"1362, 1363, 1367, 1368","Merode, van","Wernerus dominus de Renchberg [van Merode] (Rimburg) reçoit du Brabant une rente féodale par le receveur de Maestricht; Werner van Me Roede, heer zu Rincberg","De Raadt II p 466/Chartes Ducs de Brabant no 1771, 1795, 1852, 2137, 2185",,,,,,,,
1121193,1369-11-17,"Merode, van","Werner van Ringberge, burgrave de Dalhem, se porte caution pour le duc de Brabant, à Aix la Chapelle",De Raadt II p 466/Chartes Ducs de Brabant no 2301,,,,,,,,
1121194,1370,"Merode, van","Harper vanme Royde, chevalier, reçoit du Brabant un paiement par le receveur de Limbourg; 1375: idem scelle un accord entre l'archevêque de Cologne et le drossard de Lowenburg",De Raadt II p 466/Chartes Ducs de Brabant; Düss Cologne no 962,,,,,,,,
1121195,1374,"Merode, van~","Adam van Haren, jadis prisonnier à Basweiler, sous Robert de Namur, 312 moutons, wapen Merode met randschrift ",De Raadt II p 33,,,,,,,,
1121196,1374,"Merode, van","Scheyvart vamme Roide seigneur de Hemmersbach, donne quittance au Brabant; 1382, 1383: idem reçoit une rente sur le Rolduc",De Raadt II p 466/Chartes Ducs de Brabant,,,,,,,,
1121197,1377,"Merode, van",dame Aleydis dame de Rengberch reçoit du Brabant une rente par le receveur de Maestricht (elle était une Argenteau; le mari Werner de Merode seigneur de Rimburg),De Raadt II p 466/Chartes Ducs de Brabant,,,,,,,,
1121198,1383-1385,"Merode, van","Walraven vamme Roide, voué de Güsten, reçoit une rente à Rolduc",De Raadt II p 466,,,,,,,,
1121199,1387-05-26,"Merode, van","Henri sire de Gronsselt et de la Heyden et Marguerite van Merode dame de Gronsselt, veuve de sire Jean de Gronsselt [Gronsveld]",De Raadt I p 519/E. Richardson: Geschichte der Familie Merode II p 179 e.v.,,,,,,,,
1121200,"1390, 1391","Merode, van","Scheyffart van Me Rode, heer te Heymersbach et Margriete van Me Royde vrouwe van Gronsselt, sa soeur, reçoivent de la ducesse de Brabant 15700 florins du Rhin, ruerende van der cost die wij Scheyffart mit luden van wapenen dede in onser genediger vrouwen lesten cirge gegen die hertoge van Gulic ende van Gelre, met bedragen",De Raadt II p 466,,,,,,,,
1121201,1391,"Merode, van","Rikals herre vamme Rode ind zu Vraentze, ni ses fils (Werner, Ryckald en Guillaume), ne porteront, à l'archevêque de Cologne aucun dommage ""uysser unsen slossen noch -esten, die wijle ind aslange die kriege werent, den die herre van Colne hait mit deme greven van der Marken ind dem greven van Cleve ind synen kinderen""; Marguerite de Wesemael, mère de Guillaume","De Raadt II p 468, 469",,,,,,,,
1121202,1392,"Merode, van","Scheyvart van Meroyde, le vieux, et Scheyvart van Meroide, le jeune, seigneurs de Hemersbach, beau-père resp beau-frère de Jean seigneur de Rheydt",De Raadt II p 466/Düss Cologne no 1124/Düss Cleves Mark 545,,,,,,,,
1121203,"1394, 1395, 1400, 1403","Merode, van","Chrétien van Rinebergh (Rimburg) reçoit une rente sur Maestricht (vgl een akte Keerstken van Rengberghe, ritter, heere zu der Heyden châtelain de Roede (= Rolduc))",De Raadt II p 469,,,,,,,,
1121204,1395,"Merode, van",Scheyvart vamme Roede scelle un acte de Hermann seigneur de Lievendale,De Raadt II p 469/Düss Cologne no 1182,,,,,,,,
1121205,1396 (1395),"Merode, van","Guillaume van Merode  ontvangt du chef de la guerre de Gueldre, diverse bedragen",De Raadt II p 469,,,,,,,,
1121206,1402,"Merode, van","Arnould van Merode, chanoine à Liège, reçoit de la ville de Bruxelle, le prix de rachat d'une rente inscrite aux noms de Jean sire de Wesemale et de Fallais, et dudit Arnould",De Raadt II p 469,,,,,,,,
1121207,1410-09-05,"Merode, van","Guillaume seigneur d' Arkentel (Argenteau) oorkondt dat hij het slot Arkentel van de hertog van Brabant in leen ontvangen heeft. De akte is gezegeld door zijn oncles, cousins, parens et amis charnels",De Raadt IV p 358,"Regnault d'Arkentel seigneur de Hufalize, Gauthier de Mosmaille, chanone de l'Eglise de Liège, Chretien de Rinsberghe [Rimburg], Reynault seigneur d'Emptiennes [Hemptinne ?], Renier de Berghes, Claus Hoen, Renier de Neufchateau, chevaliers, Herman de Horim, écuyer",,,,,,,
1121208,1410,"Merode, van","Conrard vamme Roide, homme de l'abbé de St Panthaleon à Cologne",De Raadt II p 469/Düss Emmericn no 41,,,,,,,,
1121209,1416-08-25,"Merode, van","Frederic Scheiffaert van Merode est investi, par son neve sire Henri van Bergen seigneur van Grymbergen et de Melijn, au nom du duc de Brabant des fiefs de feu her Scheiffart van Merode, son père, savoir de ""mijn huys mit sijnre toebehoerten gelegen te Coelen (Cologne) geheiten des hertogen huys, et d'une rente de 100 florins du Rhin, sur le tonlieu de Rolduc""",De Raadt II p 469,,,,,,,,
1121210,1417,"Merode, van","Andrieu de Merode, chevalier, seigneur de Franquebergue; oncle: Jean de Schoonvorst, seigneur de Montjoie, seigneur de la Flamengerie et de Walay, conseiller et chambellan du duc de Bourgogne, comte de Flandre",De Raadt II p 469,,,,,,,,
1121211,1437,"Merode, van","Richalt seigneur vom Roide et de Vraentze, a été investi par l'archevêque de Cologne, ""myt dryn voyder wijns, manliens in dem ampte van Bonn""",De Raadt II p 469/Düss Cologne no 1143,,,,,,,,
1121212,1437,"Merode, van","Gerard van Eynenberg sire de Landzcrone, chevalier, scelle un acte de son parent Rickalt sire de Merode et de Frentz, met wapen",De Raadt I no 420/Düss Cologne no 1143,,,,,,,,
1121213,1435-1436,"Merode, van","jvr Marie dochter van Ricolf van Marode, ridder, en Wenselic natuurlijke zoon van Jan van Petersem heer van Petersem, Mechelen, kopen een lijfrente van 6 R gld per jaar op Haarlem op hun beider leven, voor 88 £ 16 sc",Thesauriersrekening Haarlem 189 fol 32,,,,,,,,
1121214,1447,"Merode, van","Werner van Meroide, chevalier, jadis voué de Düren, pour Gerard de Looz, heer van Gulik graaf van Blankenheim","De Raadt II p 469/Düss Jul Berg no 2365, 2366",,,,,,,,
1121215,1448,"Merode, van","Henri van Merode, abbé de Stavelot et de Malmédy",De Raadt II p 469/Düss Stavelot-Malmédy no 93,,,,,,,,
1121216,1456,"Merode, van","Jean seigneur de Merode, Petersheim, Leefdael en Impde; 1474, 1478: idem, Oirschot en Hilvarenbeek; 1474, 1478: Martin van der Heyden, lieutenant des fiefs; 1495: Jean seigneur de Petersheim, Leefdael, Impde, fils de Jean",De Raadt II p 469/Afflighem,,,,,,,,
1121217,1456,"Merode, van","Scheffart vamme Rade, seigneur de Hemmersbag scelle un acte de son neve Jean voué de Neersen",De Raadt II p 469/Düss Cologne no 938,,,,,,,,
1121218,1466,"Merode, van","sire Scheyffart vamme Roide seigneur de Limbourg, chevalier, bon ami du comte de Neuenahr",De Raadt II p 469/Düss Cleves Mark no 532,,,,,,,,
1121219,15--,"Merode, van",schepenen de messire de Merode dans la seigneurie de Leefdael,De Raadt II p 326,,,,,,,,
1121220,1516,"Merode, van","Gabriel van den Male, feudataire de Jean seigneur de Merode, Gheel, Westerloo etc",De Raadt II p 409/Afflighem,,,,,,,,
1121221,1485,"Merode, van",Ricaldus van Merode studeerde te Orleans,Bijdr Hist Gen Utrecht dl 34 p 334,,,,,,,,
1121222,1523-1526,"Merode, van","Henrick van Merode, heer van Pieterssem x jvr Franchoise van Brederode, ambachtsvrouwe van Ridderkerk contra mr Floris Oom van Wijngaarden en jvr Aechte Scaers [!] vrouwe van Zwieten, geschil over visrecht in de Merwede; 1525-08-31: wijst hij procureur aan te Pietershem",Grote Raad Mechelen Beroepen Holland dl IV dossier 335,,,,,,,,
1121223,1525,"Merode, van","Henri de Merode, seigneur de Petersheim, Diepenbeek, Oirschot, Herloe (Herlaer) se porte garant envers l'empereur, pour son parent Erard, libre seigneur de Palant [vrijheer van Pallandt en Withem]]en de Wittem, qui l'appelle ""edelen welgeboeren mijnen lieven neve""","De Raadt II p 470, III p 96",,,,,,,,
1121224,1535,"Merode, van","Arnould van Merode, schepen van Malines",De Raadt II p 470,,,,,,,,
1121225,1544-02-09,"Merode, van",René de Chalon prince d'Orange verkoopt een rente aan de executeurs testamentaires de feu dame Marie van Hamal marquise d'Aerschot,De Raadt II p 470,"executeurs: Jean de Traisigniez, Jean de Merode, Louis van Schora, Henri van Schoonhoven, Olivier van Schoonhoven, ridders; Lion de la Cousture",,,,,,,
1121226,1562-02-02,"Merode, van","Ysbrand van Merode heer van Broekhoven, zwager van Florentina van Culemborg, getuige bij haar huwelijk met Johan van Mathenesse ",Berigten Hist Gen III p 118,,,,,,,,
1121227,1569,"Merode, van","Bernard van Merode, siegneur de Rummen, Capellen et Raemsdonck",De Raadt II p 470,,,,,,,,
1121228,1594-08-03,"Merode, van","huwelijk van Adriaan van Matenesse en Odilia van Aeswijn; onder de huwelijksvrienden: oom Ysbrand van Merode, heer van Soeterwoude, Stompwijk ",Berigten Hist Gen III p 119,,,,,,,,
1121229,1570-1571,"Merode, van","Jan van Merode heer van Pieterssem, vrijbaander heer van Perweys, ambachtsheer van Ridderkerk contra dijkgraaf en hoogheemraden van het oude- en nieuwe land van Ridderkerk; zijn vader Hendrik van Merode had al moeilijkheden gehad (1555-09-01)",Grote Raad Mechelen Beroepen Holland dl VII dossier 631,,,,,,,,
1121230,1571-02-13 (1570),"Merode, van",heer Hendrik van Merode heer van Petershem als man van Francoise van Brederode tegen Reinoud heer van Brederode en Vianen over een jaarrente hun ten huwelijk gegeven; 1525-05-30: willige condemnaten van stadhouder en leenmannen van Holland op de huwelijksvoorwaarden van Hendrick van Merode en Francoise van Brederode,Grote Raad Mechelen Sententiën ,,,,,,,,
1121231,1571-04-07~,"Merode, van","Antoinette van Merode gedaagd door Guillance Jacquet over een kavel in ""de Plate"" in de Nieuwe polder te Vosmaar",Grote Raad Mechelen EA dl III dossier 2601,,,,,,,,
1121232,1574-01-08,"Merode, van","heer Bernaert van Merode, ridder, heer van Rummen etc (wordt) in september 1572 gouverneur van de stad Mechelen ",Navorscher jg 1897 p 389/Depeches prins Willem I,,,,,,,,
1121233,1605-11-26,"Merode, van","Loyze de Merode is dochter van Jehanne de Montmorency en Philippe de Merode, baron du Saint Empire et de Frentre",De Raadt II p 470,,,,,,,,
1121234,1608-07-10,"Merode, van","Philippe de Merode baron du St Empire et de Frenche, vicomte d'Ypres, seigneur de la ville de Middelbourg en Flandre, Watten, Chastelgneau, Lambersart, Béthencourt, la Marche, Machelen; 1609-02-18: idem ","De Raadt II p 470, 471",,,,,,,,
1121235,1611-05-31,"Merode, van","Jean de Merode baron de St Empire, seigneur de Waroux etc; 1618-08-24: Philippe de Merode comte de Middelbourg (Flandre), baron du St Empire etc",De Raadt II p 471,,,,,,,,
1121236,1619-08-19,"Merode, van","leen van Teylingen: no 14) 5 hoet rogge uit de tiende van Hazerswoude, gelost van Ysbrand van Merode (volgens L.R.K. onlosbaar omdat het ouder was dan de heelrijkheid Hazerswoude)",Ons Voorgeslacht 06-1988 p 244; L.R.K. 194 fol 204v,,,,,,,,
1121237,1658-01-05,"Merode, van","Ernest comte d'Isenbourg etc atteste à l'abbesse de Nivelles que damoiselle Marie Therese comtesse de Riviere d'Arschot et du St Empire est petite-fille de Henri comte de Riviere d'Arschot, de Heers et du St Empire et de Catherine de la Douve, baronne de Sainghin, fille de messire Bernaert de la Douve, chevalier, baron de Sanghien et d'Agnes de Merode dit d'Asten; que damoiselle Marie Therese est arrière petite-fille de messire Ruhard de Riviere d'Arschot baron de Heers et d' Antoinette de Merode de Houffalize",De Raadt II p 140,,,,,,,,
1121238,1694-09-03,"Merode, van",Godard van Reede graaf van Athlone verklaart dat Charlotte Emanuel née baronné de Poelgeest is een dochter van Gerard XIII van Poelgeest en Marie Ernestine comtesse de Merode ,De Raadt III p 200,,,,,,,,
1121239,,"Merode, van",het geslacht van Merode ,"Batavia Illustrata bl 760, 889, 891, 892, 923, 924, 951, 1039, 1066, 1072, 1112, 1115, 1123, 1144, 1157, 1167/Navorscher jg 1851: 283, 1852: 71",,,,,,,,
1121240,1143,"Meroe, van","heer Coenraad van Meroe, aanwezig bij de inwijding van de kerk van Egmond",Batavia Illustrata bl 1202,,,,,,,,
1121241,1406,"Merout, van","Jan van Merout ""mijns heren valkenaar"" (837 fol 15); 1415: (845 fol 11) betaald aan Marout Wouter Buenijsz zwager [Bonus], van de vogelen die dit jaar in den leggen gevangen zijn, 19 £ 15 sc; 1414: (844 fol 11) betaalt aan Marout Wouter Buengsz zwager van de vogelen die dit jaar in den leggen gevangen zijn, 26 £ 5sc; 1413: (843 fol 12v) 54 £ 10 sc; 1412: (842 fol 15) betaald aan Wouter Buenysz nasaet, 16  £ 15sc; 1423: mijns heren valkenaar van dat hij mijns heren legghen bewaart 8 £ (853 fol 8v); 1424: (855 fol 3) Jan Meerout idem, 12 £ en 11 £ (856 fol 10v); 1425-1426: (857 fol 9v) idem 12 £  ",Rek Rentmeester Kennemerland,,,,,,,,
1121242,1427,"Merout, van","Jan van Merout, valkenaar ontvangt 11 £ van dat hij gevogelte heeft op mijns heren legger (857 fol 26v); 1427-1428: (857 fol 42v) niet meer genoemd, andere namen; 1428-1429: (859 fol 10) betaald door Heynen van Alkemade, Jan van Marout, Michiel van Kuijck en Willem Claesz van vogelen die op mijns heren legger in Hagehout gevangen zijn, 17 £ 52c; 1429-1430: (860 fol 10v) Jan van Marout, valkenaar van de vrouwe van Holland, met Grote Colyn en Waelwyc samen, 15 £; 1430-1431 en 1431-1432: idem (861 fol 9v en 862 fol 8v); 1432-1433: (863 fol 12v) Jan van Marout meester valkenaar van de Grafelijkheid van Holland",Rek Rentmeester Kennemerland,,,,,,,,
1121243,1434-1447,"Merout, van","Jan van Merout, valkenaar in den Hage: in de jaren 1434-1447; 1447-1448: (878 fol 24) in deze rekening is Claes Jansz meester valkenaar","Rek Rentmeester Kennemerland 864 fol 12, 865 fol 12, 866 fol 12, 867 fol 12, 868 fol 11, 870 fol 18v, 871 fol 19v, 873 fol 20v, 874 fol 20v, 875 fol 25v, 876 fol 21v, 877 fol 25v, 878 fol 24",,,,,,,,
1121244,,Merovingers,stamreeks,Miraeus: Opera Dipl I p 642,,,,,,,,
1121245,1374-03-18,"Merrijn, van",leenman van Putten: Willem van Merrijn,R.G.P. Grote Serie no 170 dl II p 347,,,,,,,,
1121246,1358-04-18,Merceman,"Ghysbrecht Voppenz, schout in het ambacht van der Nieuwerkerk, verklaart dat Jacob Jan [van Moordrecht] schuldig is aan Adaem de Merceman 20 sch Holl per jaar uit een viertel in dit ambacht, belend west: Jan Naghel, oost: Jacob Jan met zijn moeder Katerine, strekkende van de Ysel tot aan de landscheiding in Zevenhusen",Reg Rotterdam en Schieland no 781,,,,,,,,
1121247,1353-07-29,"Merske, van der","hertog Willem oorkondt dat hij 18 morgen land die Zeger Zegersz van hem te leen hield in het ambacht van Alphen, belend oost: uiterdijk in de Rijn, west: Jan Scoemakers erve en eigen, zuid: 12 morgen die Dieric Fyenz van der Merske van hem houdt, noord: Dieric Heynricsz kinderen met erve en met eigen, Zeger ten eigen gegeven heeft voor 3 £ gr, die hij voldaan heeft",A.R.A. Leenkamer 32 Copie fol 63v/Reg EL 25 fol 40,,,,,,,,
1121248,1305,"Mersch, van",Gilles de Rodemaire scelle un acte de son frère Jean de Mileberch et de Marey (Milburg en Mersch),De Raadt II p 480,,,,,,,,
1121249,1374,"Mersch, van","Jean van Maresch, chevalier, jadis prisonnier à Basweiler, sous le drossard de Luxembourg, 893 moutons; Frederic van Mersch, seigneur de Hamme, chevalier (aussi Frederic van Ham) idem, 1344 moutons",De Raadt II p 472,,,,,,,,
1121250,1377,"Milburg, van","Frederic van Milberch seigneur de Hamm jadis prisonnier à Basweiler, 1120 florins",De Raadt II p 481,,,,,,,,
1121251,1377,"Mersch, van","Jean van Mersch, seigneur de Wilre (Weiler) chevalier, reçoit du chef de la bataille de Basweiler, 600 peters d'or",De Raadt II p 472,,,,,,,,
1121252,1300~1400,"Mersch, van","le blason de heer Jan van Mehertsce, homme del' évêque de Cologne",De Raadt II p 472,,,,,,,,
1121253,1460-12,"Mersch, van der",gift van Johannes Theodorus van der Mersch en zijn vrouw aan het St Elisabeths Gasthuis te Haarlem van een stuk land op Vlieland onder Schoten en Limmen,Inv Arch Haarlem p 198,,Haarlem,,,,,,
1121254,1470-01-19,"Mersch, van der","grafelijk leen te Lisse: nr 192 A) 15 morgen in Cotelveen, Cornelis van der Mersch van den Berge bij koop na de dood van Jan Vos, voor 10 £ per morgen, maar hij had niet betaald omdat de maat niet geleverd was en krijgt na de meting, ten eigen voor 13 £ 2sc 6d Vls aan de ontvanger van de extra ordinaris",Ons Voorgeslacht 07-1988 p 332,,,,,,,,
1121255,,"Mersch, van der",genoemd: Sibilla van der Mersche x Cornelis van der Goes,Batavia Illustrata bl 969,,,,,,,,
1121256,1572-1576,"Merssel, van","1556 stief Emerentia van Merssel x Gerrit Spierinck van Wel, castellein en drost van Heusden, gestorven 1570; proces tussen haar kinderen en Machteld van Nyenrode de 2e vrouw van Gerrit Spierinck",?,,,,,,,,
1121257,1240-06-15,"Mersen, de","vermeld: Heinricus de Mersen, kanunnik van St Salvator te Utrecht [zie van Maersen]; 1263-10-17: kanunnik Henricus Albus wordt pastoor van Ouderkerk na dode van Henricus van MErsen","v.d. Bergh I no 374, II no 104",,,,,,,,
1121258,,"Mervelt, van",genoemd: Catharina van Merrevelt x Bartholomeus de Waal,Batavia Illustrata bl 1026,,,,,,,,
1121259,1467,"Mervelt, van",lid van het St Jorisgilde te Harderwijk: Arnt van Mervelt ,Wapenheraut jg I: 15,,,,,,,,
1121260,"1484, 1490","Merven, van",schepen van Hoorn: Jan Jacobsz van Merven; 1500: jonge Jan van Merven,"Velius: Chronyk van Hoorn p 6, 8",,,,,,,,
1121261,1634,"Merveen, van","leen van Nyeveld: Godefroy van Merveen als man van Henrica van Dashorst beleend met de tienden van Groot Weede, Luttike Weede en Schoonoord in de maelschap van Wee en van Emelaer; 1690: Henrica van Merveen gehuwd met Jacob Jordaan van Westrenen",Rep Stichtse Leenprotocollen p 39 ,,,,,,,,
1121262,1243,"Merwede, van der",Nicolaas heer van Putten verklaart nader hoe en op welke voorwaarden hij het land van Almsvoet van het kapittel van St Pieter in pacht ontvangen heeft; getuige: o.a. Daniel de Merwede,v.d. Bergh I no 400,,,,,,,,
1121263,1243-11-29,"Merwede, van der","Folpert heer van de Lek en zijn zoon Hendrik schenken voor het heil van hun ziel 50 £ Holl aan het Duitse huis, te betalen elk jaar met 5 £ Holl; getuige: o.a. heer Daniel van der Merwede",v.d. Bergh I no 399,,,,,,,,
1121264,1253-04-23,"Merwede, van der",Floris van Holland beslist het geschil tussen Johannes van Heusden en Dordrecht over de Heusdense tollen; onder de getuigen: Daniel de Merwede,v.d. Bergh I no 555,,,,,,,,
1121265,1258-08-02,"Merwede, van der",proost en kapittel van St Pieter te Utrecht geven in erfpacht aan Godescalc Danielsz van der Merwede enige tienden in Herrardswerde vroeger door Nicolaus de [Putten ?] in pacht bezeten,Reg Kapittel St Pieter no 68,,,,,,,,
1121266,1266-07-03,"Merwede, van der","Philips de Molenare, ridder, verklaart dat hij als baljuw van Zuidholland, op last van de graaf met Daniel de Merwede, Johannes de Werkendam, milites en Henricus de Damme een onderzoek had ingesteld over het recht van Marienweerd op de kerk van Houweningen, en bevonden had dat zij die wettig bezat",v.d. Bergh II Nal no 39,,,,,,,,
1121267,1272-07-06,"Merwede, van der","Henricus abt van St Paulus te Utrecht verklaart in erfleen te hebben gegeven aan Daniel de Merwede, knaap, de tienden van 10 hoeven in Carnesse vlak naast het erf waarop de kerk van Carnesse staat, ""versus mare"", met voorbehoud van het collatierecht van de kerk aldaar en onder belofte van vrijwaring terwijl Daniel zijnerzijds de eed van trouw heeft afgelegd in tegenwoordigheid van leenmannen, o.a. van Aper de Zwindrecht",Reg Rotterdam en Schieland no 70 p 21,,,,,,,,
1121268,1273-05-06,"Merwede, van der","Daniel van der Merwede heeft van de abt van St Paulus het ⅓ deel van de tienden die hij in Daniels ambacht van Kernisse heeft, in leen ontvangen, tegen belofte om aan het innen van het overige ⅔ deel en het collatierecht van de abt niets in de weg te leggen",Versl Rijks Oude Arch 1923 I p 289/Arch Heerlijkheid Oost Barendrecht Inv no 112 fol 22v,,,,,,,,
1121269,1273-07-20,"Merwede, van der","Johan van Albenburg, voogd van het weeskind [Johan?] van Hendrik van Alblas, die de voogdij niet langer kon  waarnemen draagt die over op de oom van zijn pupil, Gerard van de Merwede",v.d. Bergh II no 254,,,,,,,,
1121270,1277-04-01,"Merwede, van der","graaf Floris V regelt de dijkschouw in het land tussen Lek en Donk; Hardenbernus van der Merwede, knape, is ""nobilis vir""en ""raad"" van de graaf",v.d. Bergh II no 331,,,,,,,,
1121271,1280-09-14,"Merwede, van der","verdrag tussen Johan Hendrickszn van Alblas en Nicolaas van Subburg, ridder, over de tienden ten noorden van Alblas",v.d. Bergh II no 405,"zijn moeder vrouwe Agnes [de Merwede], zijn stiefvader Johannes de Wenna, Gerardus de Merwede, avunculus meus, Ghiso Dukinc, Gerardus de Scie, Johannes de Almesvoete, Everdei en Daniel de Alblaes, Johannis filius Bavae en Wilhelmus filius Gerardi; sigilla mei, domino Ghisonis Dukinc et Gerardi de Scie, oppidani in Dordrecht",,,,,,,
1121272,1282-03-22~,"Merwede, van der","Daniel van der Merwede en Jan van Tholoisen verklaren dat die van Dordrecht geen nadeel zullen hebben van de nieuwe sluis die aan de Dubbel bij de stand gelegd is, daar de heemraden hen vrij verklaard hebben van sluisgeld",v.d. Bergh II no 446,,,,,,,,
1121273,1284-05-13,"Merwede, van der","uitgaven van de stad Dordrecht: - Janne van der Marwede van assijs in het ambacht van zijn neef Daniel, 13 £; - Janne van der Marwede van assijs in Daniels ambacht, 8 £ ",Oudste Stadsrekeningen Dordrecht,,,,,,,,
1121274,1284-08-24,"Merwede, van der","graaf Floris V beveelt aan Harbaren van der Merwede, voogd van het kind van Daniel van der Merwerde, in diens ambacht gelijke accijnsen te stellen als die te Dordrecht doen",v.d. Bergh II no 513,,,,,,,,
1121275,1288-07-13,"Merwede, van der","testament van Mabelia weduwe van Gysbert uten Ghoye, uit haar vorig huwelijk met Godescalcus de Merwede had zij twee zoons, Jan en Daniel",Versl Meded Oud Vad Rechtsbronnen III p 296 noot 4 en dl V no III p 157,,zie ook: uten Ghoye,,,,,,
1121276,12--,"Merwede, van der","leen van Amstel: no 74) de gehele visserij van de Dubbel, de heer van der Merwede, die hield van Amstel, vermeld 1337",Ons Voorgeslacht 09-1988 p 388/Arch Nassau Domein I Inv 703 ,,,,,,,,
1121277,1293-05-07,"Merwede, van der","Daniel van der Merwede, ecuyer, zegelt een akte van de graaf van Holland","De Raadt II p 473, 472",,,,,,,,
1121278,1293-05-07,"Merwede, van der","verdrag tussen graaf Floris V en de bisschop van Utrecht, borg voor Floris o.a.: no 30 Daniel van der Merwede, knape",v.d. Bergh II no 845,,,,,,,,
1121279,1299-10-04,"Merwede, van der","Jan van Avennes en graaf Jan I doen uitspraak over de doodslag op Nicolaas en Diederik van der Merwede, de poorters van Dordrecht moeten 200 £ en 50 £ betalen",v.d. Bergh II no 1086,,,,,,,,
1121280,1302-01-09,"Merwede, van der","het kapittel van St Pieter te Utrecht geven aan Daniel van der Merwede voor zijn leven en dat van zijn zoon in pacht de goederen en tiend langs de Maas in Hernerswerde, met uitzondering van de tiend van de tienhoeven, die de priester van Herneswerde toekomt",Reg Kapittel St Pieter no 112/Reg Hann p 6,,,,,,,,
1121281,1315>,"Merwede, van der","uitspraak over het welgeborenschap; aanwezig o.a. Daniel en heer Claes van der Merwede, ridders",Van Mieris II bl 48,,,,,,,,
1121282,1304~,"Merwede, van der","leenmannen van Putten: Daniel van der Merwede, het huis ter Merwede en een hoeve land waarop het staat, en ""t huys bi der nieuwer kerke met den bleeccamp"" [te Dordrecht ?]",R.G.P. Grote Serie no 171 dl II p 264/Rek Domeinen van Putten/Ons Voorgeslacht jg 1970 p 67,,,,,,,,
1121283,1307-07-10,"Merwede, van der","overeenkomst tussen Daniel heer van der Merwede, ridder, en schepenen en raad van Dordrecht",Van Mieris II p 68,,,,,,,,
1121284,1309-02-04,"Merwede, van der","Florens van der Doortoge, zoon van heer Florensz van Brederode, belooft heer Gerrit, scolaster te Haarlem, als vrij eigen te zullen waarborgen 10 £ Holl jaarlijkse rente te waren, volgens brief van 01-07",Reg Rotterdam en Schieland no 191,,,,,,,,
1121285,1310-01-07,"Merwede, van der","Florens van der Doortoghe verklaart in overleg en met toestemming van heer Dirc van Brederode, Daniel van der Marwede, ridders, en van hemzelf als voogd over jvr Beatrice, dochter van wijlen zijn broer Dirc van der Dortoghe, alsmede van Nyclaes van Putthe en van Striene, en van heer Willem van Naeldwyc, ridders, van Jan Baertoudsz van Scoten, knape, tezamen de viervierendelen van het geslacht van Beatrix de rente van 10£ Holl, op 10 morgen vrij eigen kleiland op de hoghe Ort bij de Dortoghe, verkocht te hebben aan Gerrit, scholaster te Haarlem",Reg Rotterdam en Schieland no 202,,,,,,,,
1121286,1312-08-03,"Merwede, van der","Hughe van Soteghem, ridder, heer van Putten, belooft de heer van Voorne alle misdaden tegen hem begaan te zullen beteren naar uitspraak van de graaf van Holland; borg: Daniel van der Merwede",Van Mieris II  p 126,,,,,,,,
1121287,1315-04-02,"Merwede, van der",ruil van land te Dordrecht tussen ver Beatrix van Putten en heer Daniel van de Merwede ,Reg Hann p 58/R.A.N.D. 1078 no 19,,,,,,,,
1121288,1316-04-20,"Merwede, van der",graaf Willem beleent Grote Claes ver Heylen Vryenz met land tussen het land van de Dimpele en Honger Coppaer Beghelersland in heer Danielsambacht van der Merwede,Reg Hann p 64/Reg XVIII fol 46,,,,,,,,
1121289,1320-08-06,"Merwede, van der","gerechtsbrief van de officiaal van de bisschop waarbij Theoderic zoon van Daniel van de Merwede erkent van het kapittel van St Pieter te Utrecht in lijfpacht ontvangen te hebben de (vroeger door Ricold van Nordeloes gehouden) helft van de tienden in de parochie van Emekerke, waarvan vrouw Beatrix van Putte en Strenen de andere helft in pacht heeft",Reg Kapittel St Pieter no 206,,,,,,,,
1121290,1320-09-16,"Merwede, van der","heer Clays van der Merwede verkocht een tiende aan graaf Willem; graaf Willem verkoopt de ambachten Almonde en Dubbelmonde aan Willem Philipsz van Duvenvoorde, de Camerlinc",Van Mieris II bl 242,,,,,,,,
1121291,1320-10-28,"Merwede, van der",graaf Willem geeft een handvest aan degenen die tussen de Merwede en de Lek wonen,Van Mieris II p 244,"per dominum comitem, de Zuden, de Vorne, Symon de Benthem, Gherardus de Raphorst, Daniel de Merwede, milites; Jan de Berghen, Jan van Pollanen, Willem Bertensz, Enghebrecht",,,,,,,
1121292,1321-04-01 (1320),"Merwede, van der","Clays van der Merwede en Hughe die Monic, Symon veren Belensz kinderen verbinden zich om nooit iets te doen tegen de graaf van Holland op verbeurte van lijf en goed",Van Mieris II p 235,"bezegeld door zijn magen: Daniel van der Merwede, Jan van der Dussen, Niclayse van der Merwede, Gillis van der Oistkerke, ridders; Janne van Stienland [Steeland], Jacob Gheroncsz, knapen",,,,,,,
