nummer,datum,plaats,verkoper,koper,omschrijving,belending,bron,opmerkingen,,
5010364,1567-12-04,Heemskerk,"Jan Pietersz Deyman, poorter van Haerlem, voor zichzelf en voor Aernt Pietersz Deyman, Adriaen Woutersz, Steffen Dircksz, Margriet Pietersdochter weduwe Pauwels Ruychaver, alle kinderen en erfgenamen van Pieter Fredericsz Deyman     ",Jan Willem Aryszns ,"een stuck hooylants gelegen aen die Hecksloot, groot 1 mad land","noord: Scrijverscamp; oost: Brecht Stansz, tot Amsterdam; zuid: Lambert Cornelisz, van Wyk op t Zee; west: de Hecksloot  ",O.R.A. no 276 fol 152,,,
5010365,1567-12-14,Heemskerk,"de erfgenamen van Guert Zierick Dircsz weduwe, met name Adriaen Ottensz van Zevenbergen als man en voogd van Laurentia, Cornelis Claesz als oom en voogd van Guerte en Hilgund, Cornelis Dircsz  als voogd van Maritgen Ziericsdochter     ","Simon Jansz , custos tot Eemskerk ",een acker saetlants,"noord: Simon Jansz, custos; oost: de Oesterwech; zuid: Joris Fransz uit die Beverwijk; west: de Beyfferdewech     ",O.R.A. no 276 fol 149,,,
5010366,1567-12-14,Heemskerk,de erfgenamen van Guert Zierick Dircsz weduwe      ,"Claes Bertolomeusz, van Schoerl alias Claes Coster. Hij verkoopt dit land meteen weer aan Wouter van Bekesteyn    ","een perceel land gelegen tussen de Oesterwech en de Beyfferdewech, belast met een cijns van 1 duit per jaar",noord: Joris Fransz; zuid: Wouter van Bekesteijn ,O.R.A. no 276 fol 150,,,
5010367,1567-12-14,Heemskerk,de erfgenamen van Guert Zierick Dircsz weduwe      ,Gerrit Florisz,"een huijs, werve met een boomgaart daervoor, dat Zyerick en erna zijn weduwe bewoond heeft",noord: een scoubeeck; oost: de memorie tot Haerlem; zuid: Cornelis Dircsz; west: de Oesterwech  ,O.R.A. no 276 fol 151,,,
5010368,1567-12-22,Heemskerk,Jan Gerrit Jacopsz,Pieter Jacopsz (= Pieter Jaep Pieter Belien) ,"een huis, hooihuis, schuur en werve gelegen aen die duijn ",noord: Pieter Bloem c.s; oost: Jan Gerritsz; zuid: de Horn; west: de Scouheijninck    ,O.R.A. no 276 fol 154,,,
5010369,1567-12-22,Heemskerk,"Pieter Jacopsz, (in margine geheten Pieter Jaep Pieter Belien) voor zichzelf; Anthonis Lourisz x Anna Jacopsdochter; Pieter Cornelis x Maritgen Jacopsdochter   ",hun broer Cornelis Jacopsz,"een huijs, hooyhuijs etc gelegen aen die duynen  ",noord: de Scouheyninck; oost: Gerrit Gerritsz; zuid: Adam Willemsz; west: de Scouheyninck     ,O.R.A. no 276 fol 153,,,
5010370,1567-12-29,Heemskerk,Claes Willem Ziericsz als oom en voogd van de 3 nagelaten kinderen van zijn broer Ysbrand Willemsz ,"Cornelis Fransz, poorter van Beverwijc  ","een acker zaetlandts, groot 2 achgelen zaijens",noord: Gerrit Claesz; oost: de erfgenamen van Arijs Jansz; zuid: de Strenge; west: de grote Houdtweg     ,O.R.A. no 276 fol 159,,,
5010371,1568-01-22,Heemskerk,Loutgen Dirck Neeltgis c.s. ,Pieter Jaep Pieter Belien; borg: zijn broer Cornelis zijn. Deze koper doet  vervolgens zijn koop over aan Aelbert Dircsz  ,"seecker geestlant,  gelegen benoorden den ouden dyck, groot 5½ achgelen rog zaeijns aen twee ackers, tussen Zien. Koopsom 353 £   ",,O.R.A. no 276 fol 166,,,
5010372,1568-01-28,Heemskerk,wijlen Ysbrand Willemsz,"Pieter Jacobsz, wonende op de maer: hij beleent de weeskinderen van Ysbrand Willemsz met een custing op het huis waar Pieter in woont, gekomen van Ysbrand, ten bedrage van 114 Kar gld. Tot onderpand stelt hij ook een custingbrief op een ander huis op de Maer, dd 1567-11-26        ",,"noord en oost: de Maer, zuid: Bouwen willemsz, west: cornelis Claesz","O.R.A. no 276 fol 167, 168",custingsbrief,,
5010373,1568-02-07,Heemskerk,"Aelbert Thonisz, van Egmond Binnen",Louris Dirck duijnmeijers ,"½ van een crofte zaedtlandts, waarvan de andere helft toebehoort aan Cornelis Simonsz, mede buyrman tot Egmond Binnen ",noord: Louris Gerritsz; oost: de kerckwech; zuid: Gerrit Claesz; west: de Grote Houtweg ,O.R.A. no 276 fol 169,,,
5010374,1568-02-25,Heemskerk,"  Aelbert Doevensz, wonende aen die duyn; borg: Tonis Lourisz, mede buyrman an die duyn","Claes Bertholomeusz, wonende tot Schoerl","een huijs, hooyhuys met de werve belast met 7 hoenderen per jaar voor de heer van Zevenbergen, t stuck getaxeerd voor 1 blanc    ","noord, oost en west: de gemeen wech; zuid: Cornelis Arijsz",O.R.A. no 276 fol 170,,,
5010375,1568-03-20,Heemskerk,Jan Jansz Baen,Simon Gysbertsz Snijer,"een acker zaedtland; koopsom 110 Kar gld, waarvan 101 £ op losrente. De koper ontvangt de eigendom pas na de lossing hiervan ",noord: Cornelis Gijssen; oost: de Beyfferdewech; zuid: de abt van Egmond; west: de Scoubeeck ,O.R.A. no 276 fol 173,,,
5010376,1568-04-05,"Heemskerk, in wateracker",Cornelis Arijsz,de eersame Dirck Jacopsz de Vries  ,een acker zaedtlandts in Wateracker,"noord: Dirck Hem en is nu is eigenaar: Dirck de Vries; oost: de erfgenamen van Garbrant Gerritsz en Simon Jansz, custos; zuid: Jasper Fransz en Simon Jansz, custos; west: de grote Houtweg     ",O.R.A. no 276 fol 174,,,
5010377,1568-05-05,"Heemskerk, Claes Locken wijdt","Glaudy van Gadefier, als man en voogd van Aechte Lourisdochter  ",Louris Splintersz,"een stuck weydtlandts genaempt ""Claes Locken weijdt""  ","noord: Louris Heyndricsz; oost: de heer van Assendelft; zuid, west, : seeckere cappelryland toebehorende enige tot Leiden",O.R.A. no 276 fol 178,,,
5010378,1568-05-05,"Heemskerk, de grote Zeven Hoeven","Glaudy van Gadefier, als man en voogd van Aechte Lourisdochter  ",Louris Splintersz,"¼ part van een stucke lants genaemt ""dije grote zeven hoefven""","noord: heer Pieter, tot Haerlem; oost: Splinter Ysbrantsz erfgenamen; zuid: Gerrit Allertsz en Willem Luddolfsz, van Wyk op Zee; west: Jan Baen, van Wyck op Zee, de Heilige Geestmeesters te Haerlem     ",O.R.A. no 276 fol 178,,,
5010379,1568-05-05,Heemskerk,"Glaudy van Gadefier, als man en voogd van Aechte Lourisdochter  ",Margriet Splintersdochter weduwe Gerrit Cornelisz  ,een acker zaedtlants,"noord: Louris Wynantsz c.s; oost: de Kerckwech; zuid: mr Maerten [Jacobsz], scilder tot Haerlem; west: de grote Houtweg   ",O.R.A. no 276 fol 179,,,
5010380,1568-05-05,Heemskerk,"Claes Heynricsz wonende op St Aechtendyc, Willem Michielsz, schout tot Heemstede, Cornelis Claesz en Arijnen Simonsz, buyrluyden tot Heemstede, als ooms en voogden van de weeskinderen van wijlen Meynert Heyndricsz      ",Louris Heynric Meynertsz,"½ van een huis, hooihuys, schuur, werf etc op het Hoechdorp, waarvan wederhelft  Louris toebehoort ",noord: Cornelis Cornelisz; oost: de Hoechdorperwech; zuid: Willem Jansz; west: de Scoubeeck ,O.R.A. no 276 fol 177,Ruil,,
5010381,1568-05-05,Heemskerk,Louris Heynric Meynertsz draagt over in ruil aan ,"Claes Heynricsz wonende op St Aechtendyc, Willem Michielsz, schout tot Heemstede, Cornelis Claesz en Arynen Symonsz, buurluiden tot Heemstede, als ooms en voogden van de weeskinderen van Meyndert Heynricsz    ",½ acker zaetlants,"noord: mr Maerten [Jacobsz], scilder tot Haerlem; oost: de Scoubeeck; zuid: Willem Jansz; west: de Kuijkerswech ",O.R.A. no 276 fol 177,,,
5010382,1568-05-26,Heemskerk,,,"Cornelis Gerritsz alias Loenen beleent Louris Maerten Claes Willem een custingbrief van het achterste endt van het molenhuijs, groot 34 Kar gld; (op 26 mei heeft Louris Maerten Claes Willem hem Cornelis Gerritsz alias Loenen verleden van t selve halve molenhuys waernisse en quijtscelding)     ",noord: land van de abt van Egmont; oost: Katryn Claes Pietersz weduwe; zuid: de gemeen wech; west: Cornelis Gerritsz alias Loenen           ,O.R.A. no 276 fol 183,,,
5010383,1568-05-29,Heemskerk,Gerrit Florisz ,"Jan Symonsz [schout], zijn zwager","zijn huys daer hij nu ter tyd in woont (Jan Simonsz was in de waernis en quitschelding dd 1567-12-13 borg voor hem geworden voor zekere losrenten groot in hoofsom 50 Kar gld, volgens brief dd 1568-05-22 ) ",,O.R.A. no 276 fol 184,,,
5010384,1568-06-10,Heemskerk,"Johan van der Does en Noortwyck, Adriaen van der Does voor zichzelf en als man en voogd van Marije van Borsselen ",kinderen en erfgenamen van Zierick Dircsz,"2 stucken zaedtlandts tussen den Oesterwech en Kerckwech, soe dat die voorschreven erfgenamen gecoft hebben van Warner van der Does, wijlen haar oom    ",noord: Simon Jansz; zuid: Joris Fransz      ,O.R.A. no 276 fol 186,,,
5010385,1568-06-10,Heemskerk,"Johan van der Does en Noortwyck, Adriaen van der Does voor zichzelf en als man en voogd van Marije van Borsselen ",kinderen en erfgenamen van Zierick Dircsz,"huijs, erf en boomgaard dat Sierick en zijn vrouw metter doot geruymt hebben   ",noord: Con Maj land; oost: de memorie tot Haerlem; zuid: Cornelis Dircsz; west: de Oesterwech   ,O.R.A. no 276 fol 186,,,
5010386,1568-06-10,Heemskerk,"Johan van der Does en Noortwyck, Adriaen van der Does voor zichzelf en als man en voogd van Marije van Borsselen ",kinderen en erfgenamen van Zierick Dircsz,een stuk land,noord: Joris Fransz; zuid: Wouter van Bekesteijn    ,O.R.A. no 276 fol 186,,,
5010387,1568-06-27,Heemskerk,"Erm Jansdochter weduwe Gerrit Thomasz, poorteresse van Haerlem, met Cornelis Gerritsz, haar zoon en voogd   ","Aelbert Doeven, buurman binnen Eemskeck  ","3 geersen lands, liggende in de Hem, alle jaers wandelende teghen Willem Luddolfsz op ende neder ","over dat zeedt: noord: Willem Luddolfsz, oost: het Dije; zuid: Dirck Gerritsz alias Dirck Jansz, op t Hofland, west: de commandeur van St Jan; bewesten dat zeedt: de heer van Assendelft en seecker aelmisland             ",O.R.A. no 276 fol 188,,,
5010388,1568-06-28,"Heemskerk, Lanckcamp","Cornelis Rugewaerts, van Wyck op Zee ","Adriaen Dircsz, van Wyck op Zee ","1) ""Lanckcamp"", de helft gemeen met de kinderen van Jan Arisz, aan Wyckerduyn  ","noord: de molensloot; oost: de sluissloot; zuid: Ariaen Claesz, van Haerlem, Brecht Stanssen tot Amsterdam; west: de weduwe van mr Pieter van Foreest c.s    ",O.R.A. no 276 fol 193,,,
5010389,1568-06-28,"Heemskerk, in Grofweer","Cornelis Rugewaerts, van Wyck op Zee ","Adriaen Dircsz, van Wyck op Zee ","1 mad in Grofweer, wandelende tegen Pieter van Dijck en Frits van Egmondt  ",noord: Frits van Egmondt; oost: de zuidmaedwech; zuid: Jan Pietersz; west: de sluijssloot         ,O.R.A. no 276 fol 193,,,
5010390,1568-09-07,Heemskerk,St Margrieteconvent te Haerlem,"Ariaen Dircsz, van Wyck op Zee ","½ van een huijs, hoijhuijs met den werve en daer annex gelegen, zoals dat door Hilgont Gerritsdochter met Dirck Dircksz als voogd aan genoemd convent was opgedragen ","noord: Dirck Florisz; oost: de scilpweg; zuid: Adriaen Dircsz, van Wyck op Zee; west: de Scouheyning  ",O.R.A. no 276 fol 201,,,
5010391,1568-09-18,Heemskerk,"Claes Bertolmeusz, van Schoorl","Allert Lourijsz, buyrman te Heemskerk","een huijs, hooijhhuijs met werve, belast met 7 hoenderen per jaar tbv de heer van Zevenbergen","noord, oost en west: de gemeen wech; zuid: Cornelis Arijsz",O.R.A. no 276 fol 202,,,
5010392,1568-10-31,Heemskerk,"Louweris Wynantsz, poorter van Haerlem; borg: Ysbrant Ockersz, poorter van Haerlem","Joris Jansz, buyrman te Haerlem",een perceel zaedtlands gelegen tot Noertdorp ,noord: de heren van St Jansgodshuijs te Haerlem; oost: Gerrit Claesz; zuid: Heertgen Jansz tot Aeckersloot; west: Grietgen Waligen   ,O.R.A. no 276 fol 209,,,
5010393,1568-11-06,"Heemskerk, de Quae thiende",Louris Heyndricsz als man van Aechte Pietersdochter (weduwe Pieter Jansz Schouten) en diens andere erfgenamen   ,"Aeriaen Dircsz, van Wijk op Zee","een madt hooijlands in die ""Quae thiende"" ","noord: Castricummer watering; oost: Jan Jansz, van Assendelft; zuid: de Maetwech; west: Willem Dircksz      ",O.R.A. no 276 fol 212,,,
5010394,1568-11-06,Heemskerk,de erfgenamen van Pieter Jansz Schouten (met name genoemd) ,Louris Heyndrick Meijnertsz (getrouwd met Aechte Pietersdochter weduwe Pieter Jansz Schouten)  ,⅓ part van een croft landts,noord: Evert Ariaensdochter; oost: de Oosterweg; zuid: Louris Arisz; west: de Kerkweg   ,O.R.A. no 276 fol 210,,,
5010395,1568-11-06,Heemskerk,Louris Heyndricsz als man van Aechte Pietersdochter en de andere erfgenamen van Pieter Jansz [Schouten]  ,Cornelis Arisz,"huijs, hooijhuijs en erve, met de dood van Pieter Jansz ontruimd, staande in de Kerckbuyrt, belast met 4 hoenderen per jaar tbv de heer van Zevenbergen   ","noord: Allert Lourisz; oost en west: de gemeen wech; zuid: Jan Symonsz, schout",O.R.A. no 276 fol 211,,,
5010396,1569-01-08,Heemskerk,"Gerrit Danelsz, poorter van Alcmaer","Thijs Heyndricsz, buurman te Heemskerk  ",een acker saedtlandts,noord: Dirck Pietersz; oost: de Kerkweg; zuid: Gerrit Allertsz; west: dat Schoubeeckgen    ,O.R.A. no 276 fol 218,,,
5010397,1569-01-12,Heemskerk,"Jasper Fransz, poorter van Enchuysen","zijn broer Claes Fransz, poorter van Enckhuysen",seeckere ackeren zaedtland aan elkaar liggende,"noord: Dirck Jacopsz de Vries; oost: de erfgenamen van wijlen Dirck Baertsz en wijlen Symon Jansz, custos; zuid: de Kerkbeeck; west: de grote Houtweg    ",O.R.A. no 276 fol 217,IX 11,,
5010398,1569-01-20,Heemskerk,"de erfgenamen van Gerrit Gerritsz, aan duijn",Bouwen Dircsz; borg: zijn zwager Aelbert Dircsz,"het huijs, hooijhuijs, werf, met de dood van Gerrit Gerritsz ontruimd, leggende in t viercant met de twee tuyntgis. Belast met ½ st onlosbare chyns voor de vrouwe van Arenberge en nog 1½ st aan rente. Koopsom 480 Kar gld  ",,"O.R.A. no 276 fol 220, 221",XII 36 deel,,
5010399,1569-01-29,"Heemskerk, de Waelcamp","Gerrit Maertsz, van Wyck op t Zee",Louris Willem Arijsz ,"¼ deel van een stuk land genaamd ""de Waelcamp"", buiten- en binnendijks ","buitendijks: noord en west: de heer van Assendselft; binnendijks: noord: Adriana van Zweeten, weduwe van Gerrit Heerman, oost: de dijk, zuid: de sluissloot, west: St Michielsklooster",O.R.A. no 276 fol 223,,,
5010400,1569-02-10,Heemskerk,"Claes Willem Siericxz als oom en voogd van de weeskinderen van Ysbrant Willemsz, wijlen zijn broer  ","Pieter Jacopsz, alias Pieter Meynertsz ","een huijs en werve etc, dat na de dood van IJsbrant metter dood geruimd heeft",noord en oost: de Maer; zuid: de Maersloet; west: de Hecksloot  ,O.R.A. no 276 fol 228,,,
5010401,1569-02-10,"Heemskerk, in Breeslacht",Wouter Cornelisz,zijn vader Cornelis Dircsz,"⅛ part in een stuck zaedtlandts, gemeen met die commandeur tot Haerlem c.s. en met den voornoemde comparant zynen vader en broer, gelegen in ""Breeslacht"", groot dat gehele stuck omtrent 24 achgelen rog zaeijns  ",dat gehele stuk: noord: Pietgen Dirck Louwen met seecker aelmislant; oost: de Scoubeeck; zuid; de abt van Egmond; west: de grote Houdtweg    ,O.R.A. no 276 fol 225,,,
5010402,1569-02-10,"Heemskerk, het gemeen Paardeland",Wouter Cornelisz ,"Maritgen Jacopsdochter, poorteresse van Beverwyc","½ van een stucke landts genaamd  ""dat gemeen Paerdelant"", van malcander afgegraven,  de ander helft is van Cornelis Lourisz, poorter van Beverwijk; zoals Wouter dat met de commandeur te Haerlem geruild heeft",noord: Gerrit Claesz; oost: de gemeen wateringe; zuid: Thijs Heyndricsz en Pieter Lourijsz; west: Lambert Willemsz   ,O.R.A. no 276 fol 227,,,
5010403,1569-03-04,Heemskerk,"Margrietgen van Moriennen weduwe Jan Heyndricsz, tot Egmond, t.o.v haar broer Cornelis van Moriennen, met haar noch adjunct Cornelis Govertsz alias Paghij ","Claes Heijnsz en Louris Heyndricsz, broer van haar man ",een croft zaedtlandts gelegen tussen die Oesterwech en die Kerckwech omtent den huijse van Eemskerke; koopsom 463 £    ,,O.R.A. no 276 fol 238,,,
5010404,1569-04-07,Heemskerk,"Arijs Maerten Luijters; borg: Cornelis Gerritsz, zijn zwager, wonende op t Hoechdorp ","Cornelis Dirck Neeltgis; borg: zijn moeder Guerte Claesdochter, met haar zoon willem Dircsz als voogd  ","een huijs en werve zoals Arys Maertsz dat nu ter tijt bewoont, staande in die Kerkbuyrt, belast met 8 hoenderen per jaar voor de heer van Sevenbergen  ",noord: seecker cappelriegoed; oost en zuid: de gemeen wech; west: Ariaen Maertensz,"O.R.A. no 276 fol 241, 242, 243",,,
5010405,1569-04-14,"Heemskerk, de Byescroft",Guerte Claesdochter weduwe Dirck Cornelisz met haar voogd in deze Lambert Willemsz  ,"haar zoon Willem Dircsz, wonende tot Eemskerk aen die duynen  ","een stuk land genaamd  ""die Byescroft"";  Hij beleent een custingbrief voor zijn moeder voor 900 Kar gld ",noord: St Katrijne convent te Haerlem; oost: die luttick Zije; zuid: de commandeur van Haerlem; west: de Voerweg en Jan Gerritsz  ,"O.R.A. no 276 fol 244, 245",,,
5010406,1569-04-18,Heemskerk,"Jan Jansz, wonende tot Assendelft, alias genaamd coepmen Jan, mede namens al zijn andere consorten","Jan Wouters, buyrknecht binnen Eemskerck","15 ackeren zaedtlandts, groot 22 achgelen zaijns",noord: Louris Pietersz; oost: de Schoubeeck; west: de Schouheijninck,O.R.A. no 276 fol 246,,,
5010407,1569-04-18,Heemskerk,,,"Jan Woutersz, buyrknecht binnen Eemskerck, verkoopt aan Tryn coman Jans weduwe met haar kinderen, Wyve Dirck Claesz weduwe met haar kinderen, Anna Jan Claesz weduwe met haar kinderen, alle wonende binnnen Assendelft , een losrente van 6 £ gr Vls , losbaar met 600 Kar gld, verzekerd op 15 ackeren zaedtlandts groot 22 achgelen zaijns door hem gekocht 1569-04-18         ",,O.R.A. no 276 fol 247,,,
5010408,1569-05-02,"Heemskerk, in de Corte Campen","het Galileaconvent buiten Monickendam, met Cornelis Wybrantsz van Scermerhorn als voogd ","Claes Fransz, van Enchuijsen","een vrij perceel land  ""in dije Corte Campen""",noord: Dirck Jansz van t Hoflandt; oost en zuid: de heer van Assendelft;  west: Willem Luddolfsz of zijn kinderen  ,O.R.A. no 276 fol 248,V 70 deel,,
5010409,1569-05-04,Heemskerk,,,"Dirck Florisz en zijn zwager Dirck Dircsz (in margine: jonge Dirc),  buurlieden wonende aen die duynen, hebben ""seeckere permutacieruijl en cavelinge gedaen beroerende t landt gelegen voer die deur van Dirck Florisz, daer hij nu ter tijt woendt, haerlieden aengecomen bij successie van  haeren ouderen s.g"";  Dirck Dircksz ontvangt ⅙ part gelegen aan het zuiden van dit land, strekkende van Dirck Florisz werf tot aan de Scilpwech; Dirc Dircsz verkoopt dit land aan Adriaen Dircsz voors.        ",noord: Dirck Florisz; zuid: Adriaen Dircsz te Wyk op Zee  ,"O.R.A. no 276 fol 234, 235",,,
5010410,1569-06-04,Heemskerk,Louris Claes Hugen,Ariaen Cornelisz Budts ,"een huijs, erve met een tuijntgen landts daar aenleggende, staende tot Noertdorp, belast met 1 st eeuwige pacht voor de heer van Zevenbergen; koopsom 780 Kar gld. Hij passeert een custingbrief  ",noord: Jan Pietersz; oost: Claesgen Pietersdochter; zuid: Joris Jansz; west: de Oesterwech ,O.R.A. no 276 fol 257,1561 XIII 9 ? ,,
5010411,1569-07-01,"Heemskerk, Scrijverscamp","Baerndt Jansz uit s'Gravenhage voor zichzelf en namens zijn moeder Scolastica Gijsbrechtsdochter, weduwe Jan Clemensz, Jan Jansz Hemeler voor zichzelf en namens jonge Jan Clemensz, Zeger Claesz van Dam x Heyltge Jansdochter, alle erfgenamen van Jan Clemensz     ",Huijch Jansz ,"½ van een stuk land genaamd  ""Scrijverscamp"", groot 2 maden, waarvan het andere deel toebehoord aan de erfgenamen van oude Claes Gerritsz ","het gehele stuk: noord: Hardtlaen; oost: Claes Fransz, van Enckhuijsen; zuid: Jan Willemsz; west: de Hecksloot  ",O.R.A. no 276 fol 261,,,
5010412,1569-10-22,Heemskerk,"Claes Willemsz, (in margine: Claes Willem Siericsz) wonende aan St Aechtendijc, als oom en voogd van de nagelaten kinderen van zijn broer Ysbrant Willemsz",de weduwe en erfgenamen van Louris Willem Arysz ,"een perceel zaedtlants gelegen voor de laen van den huyze van Eemskerk, met de noorderwal en onderstaende geboomte daer toe behorende","noord: Dirck de Vries, poorter te Haerlem; oost: de Oesterwech; zuid: de Schoubeeck; west: de Beyfferdewech   ",O.R.A. no 276 fol 269,,,
5010413,1569-10-29,Heemskerk,"Jan Jansz Baen en Heynssoen Ysbrantsz, gasthuismeesters van Wyk op Zee","Aelbert Doevenz, buurman van Eemskerck, wonende aen die duynen ",een acker zaedtlants,noord: Louris Dircsz; oost: Jan Willemsz; zuid: Aelbert Doevenz; west: die luttick Zije  ,O.R.A. no 276 fol 270,,,
5010414,1569-12-16,Heemskerk,Huych Heyndricsz ,zijn huisvrouws voorkinderen geprocreert bij wijlen Anthonis Gerritsz ,"⅓ part van een huys en werve en 2 ackeren lants daer t huijs op staet, belast met een losrente van 30 Kar gld, toebehorende Guerte Gerritsdochter, conventuale in Beverwyk, en nog een losrente in hoofdsom 31 Kar gld groot, tbv de Regulieren in de Beverwijk (vergelijk 1569-12-26)",noord en oost: Gerrit Allertsz; zuid: de kinderen van Anthonis Gerritsz; west: de gemeen wech   ,O.R.A. no 276 fol 278,,,
5010415,1569-12-17,Heemskerk,"Louris Cornelis Theusz; borgen: Willem Dircsz, aen die duynen wonende en Ariaen Gerritsz, van Wyck op t Zee  ",Eevert Fredricxz ,"huizing, werf en land gelegen in de wildernis van de gravin van Arenberg, groot 5 morgen 366 roeden, belast met 5 st onlosbare en 23 st losbare rente (den penn 18). Koopsom 110 Kar gld. Op 1570-07-29 heeft  Louris Cornelis Theusz ""waernisse en quijtsceldinge gedaen den voornoemde Eevert Fredricxz van t huys, erve en land voorschreven""; borg:  Louris Gerrit Jacobsz    ",,"O.R.A. no 276 fol 279, 280",,,
5010416,1570-11-27,Heemskerk,"Ariaen Groeneven, van Haerlem","Lambert Cornelisz, van Wyck op  Zee ","zeeckere percelen zaedtlants, bij de hoop zonder mael ",,O.R.A. no 275 fol 45,,,
5010417,1566-03-28,Heemskerk,jhr Frederick van Egmont ,"Baefve Jansdochter weduwe Adriaen Florisz van Adrichem, poorteresse van Haerlem","een crofte zaetlants omtrent den huyse van Meresteyn groot 10 achgelen zaijens. Frederic neemt dit leenland weer in pacht van mr Jan van Adrichem, haar zoon en voogd, voor 12½ Kar gld per jaar, losbaar met 200 Kar gld;  1565-08-13: octrooi om te verkopen. Op 1593-01-07:  afgelost door jonker Aelbert van Egmont    ",noord: Bouwe Dircsz c.s.; oost: Coemen Hugen weydtgen; zuid: de laen van het huijs te Meresteijn; west: de Hoochdorperweg,O.R.A. no 276 fol 27,"later genoemd als ""Leenmanscroft"" of ""Keylsgras""?",,
5010418,1566-11-19,Heemskerk,Louris Gerritsz,Cornelis Willemsz backer ,"losrente van 3 Kar gld per jaar, losbaar met 50 Kar gld, onderpand  zijn huis, hofstede waarin hij nu woonachtig is, te Eemskerck aen die oesterzijde ",noord: Cornelis Pietersz; oost: Louris Heynricsz; zuid: Bouwen Willem met nog zekere capelry goeden; west: die oesterwech  ,O.R.A. no 276 fol 72,,,
5010419,1558-06-10,Heemskerk,Cornelis Dircsz alias Mont met zijn zoon Wouter Cornelisz,de Faly bagynen van den groeten hof te Haerlem,"een jaarlijkse losrente van 42 Kar gld en 10 st, losbaar met 850 Kar gld; onderpand: ""dije weyde aen die oesterzijde, zoe groot en cleyn zij die gecoft hebben van die voorschreven bagynen"" ",,O.R.A. no 275 fol 13,,,
5010420,1559-01-30,"Heemskerk, op Hardtmaed",Louris Aechte Gijssen,de meesteressen van de Grote Faly bagynhof te haerlem,"een losrente van 6 Kar gld per jaar, losbaar met 120 Kar gld; onderpand: ½ van 5 geersen hoeylants, gelegen op ""Hardtmaedt""     ","noord: de Maedtwech; oost: Jacop van der Hoefven erfgenamen, van Amsterdam; zuid: Willem Luddolfsz, van Wijck op Zee; west: Wouter Tollenaer van Stompwijck, tot Haerlem",O.R.A. no 275 fol 22,,,
5010421,1562-06-11,Heemskerk,Cornelis Dircsz alias Mondt,de meesteressen van de Grote Faly bagynhof te haerlem,"een losrente van 5 Kar gld per jaar, losbaar met 100 Kar gld; onderpand: een croft zaedtlandts groot 5 achgelen zaeijns    ",noord: de procurator ut die Wyck; oost: de grote Houdtwech; zuid: Pieter Bloem; west: Claes Ysbrandtsz en Gerrit Cornelisz   ,O.R.A. no 275 fol 60,,,
5010422,1562-06-11,Heemskerk,Louris Splintersz,de meesteressen van de Grote Faly bagynhof te haerlem,"een losrente van 20 Kar gld per jaar, losbaar met 400 Kar gld; onderpand: ½ van een stucke weijdtlands met ½ acker geestlands ",noord: heer Jacop Jansz van Leyden; noordwesten: de erfgenamen van Frerick Jansz; oost: de heer van Assendelft; zuidoost: Wouter van Bekesteijn; west: de oesterwech; zuid: Huijch Heyndricsz   ,O.R.A. no 275 fol 59,,,
5010423,1559-05-15,Heemskerk,Aelbert Dircsz,St Barbaren gasthuijs tot Haerlem,"een losrente van 10½ Kar gld per jaar, losbaar met 174 Kar gld, onderpand: zijn huis en hof liggende in de wildernisse van de heer van Zevenbergen; met nog een acker lants, groot omtrent 1 morgen [= 800 roeden]    ","noord: St Jacobsgilt tot Haerlem; oost: de groete Zije; zuid: Heynrick Pouwelsz, van Amsterdam; west: Gerrit Jacopsz Horn",O.R.A. no 275 fol 26,,,
5010424,1569-02-11,Heemskerk,Pieter Jacopsz Meynert (= Pieter Jacobsz alias Pieter Meynerts) ,Wouter van Bekesteyn,losrente van 11 Kar gld per jaar; onderpand: het huis en werf door hem op 1569-02-10 gekocht,noord en oost: de Maer: zuid: de Maersloot; west: de Hecksloot  ,O.R.A. no 276 fol 229,,,
5010425,1569-11-24,Heemskerk,Louris Dircsz (in margine: Louris Dirck Woutersz)  ,"Wouter van Bekesteyn, wonende te Haerlem  ","losrente van 6 Kar gld 15 st per jaar, losbaar met 107 Kar gld 10 st; onderpand: ""sijn huijs, werf en getimmerte met een crofte lants daer huys in staet daer hij nu ter tijt in woent"", groot ± 1½ morgen       ",noord: Huybert Pietersz; oost: de groot Zije; zuid: Baefvenlaen; west: Huybert Pietersz   ,O.R.A. no 276 fol 276,,,
5010426,1558-03-20,Heemskerk,"Joris Jansz, onse buerman  ","Cornelis Gysbertsz van Beresteijn, wonende te Haerlem ","een jaarlijkse losrente van 12 Kar gld, losbaar met 200 Kar gld; onderpand: een stucke ofte hoeve zaedtlants, groot 7 achgelen zaeyens  ","noord: Joris Jansz voors; oost: den Herewech; west: Claes Florisz, van Haerlem     ",O.R.A. no 275 fol 10,,,
5010427,1566-10-03,Heemskerk,Cornelis Gerritsz en Louris Gerritsz ,"mr Allert van Bloemen, pastoor van Ursem en zijn zuster Maritgen Jacopsdochter, bagijn te Haarlem",een lijfrente van 26 Kar gld losbaar met 200 K gld; Cornelis Gerritsz stelt tot onderpand: een crofte lants groot 1½ morgen    ,noord: Jan Willemsz; oost: de cleine Houtweg; zuid: de Streng; west: Cornelis Dircsz  ,O.R.A. no 276 fol 62,,,
