id,datum,naam,inhoud,bron,getuigen,bijzonderheden,,
1071002,1562-1566,"Goerle, van","Consilium de Beke Woensdrecht Altare St Nicolai: Rector Erasmus de Goerle, zoon van Cornelis van Goerle",Taxandria jg 30 p 184,,,,
1071003,1568-04-24,"Goorle, van","vertrokken uit Bergen op Zoom, blijkens de verhoren op last van hertog Alva, Interrogatie betreffende Willem die Keijser: Matheus en Graeciaen van Goirle, gebroeders, zij namen 4 tonnen huisraad mee",Taxandria jg 39 p 216,,,,
1071004,1568-05-26~,"Goorle, van","attestatie van Walterus van Goirle, notaris, oud 36 jaar, te Bergen op Zoom",Taxandria jg 40 p 48,,,,
1071005,"1570-12-18, 1575","Goirle, van","Wouter van Goirle, schepen van Bergen op Zoom; 1581-09-05: burgemeester","Taxandria jg 40 p 55, 56, 177, jg 3 p 15",,,,
1071006,1568-10-21,"Goorle, van","J. Berijs, schepenklerk van Tilborch, bericht dat Cornelis Claesz van Ghoerle en Jan Cornelis Cornelis Danielsz, schepenen van Tilborch en Ghoirle, gegoed te Ghilze, met gemachtigden van medegegoeden inzage hebben genomen van het request met de apostille van vóór 6 oktober en een maand bedenktijd hebben genomen",Inv Arch Nassau Domeinraad regest 3482,,,,
1071007,1578,"Goorle, van","1578-02-07: chargant major Henr van Goirle te Bergen op Zoom; 1578-06-25: Jan van Ghoerle, oud 41 jaar, was stadsbode van Steenbergen, legt getuigenis af","Taxandria jg 21 p 194, jg 33 p 14, 16",,,,
1071008,1590-03-03,"Goorle, van","Bossche Schepenprotocol: de erfgenamen van Cornelis de Lie, apotheker in den Bosch en zijn vrouw Johanna van Goirle Hendricksdochter",Reg 246 fol 260v/Voorname Huizen Den Bosch III p 494,,,,
1071009,1595-12-04,"Goorle, van","brief van David van Goorle, residerende tot Cornium, aan de Gedeputeerde Staten van Vriesland, aangaande het onrecht dat hem, tresorier [van Adolf graaf van Nieuwenaar], Doeco van Martena en zijn broer Abraham van Goirle, Raadsheer te Utrecht, aangedaan was","Kroniek Hist Gen jg 21 p 503, 505, 511",,,,
1071010,1606,"Goorle, van","Marcus de la Palma de San Fuentes, burgemeester van Middelburg, gestorven 1641, zoon van Salvador bij zijn tweede vrouw Emerentia van Goirle; beschrijving wapen Van Goorle","Taxandria jg 11 p 88;Navorscher jg 1877 p 639, 1878 p 530",,,,
1071011,1607-10-06,"Goorle, van","notaris H.J. van der Lijn te Alkmaar; Daniel van Goorle en zijn vrouw Aerian van Teylingen, dochter van Pieter",Ned Leeuw jg 1942 p 169,,,,
1071012,1608-07-01,"Goorle, van",Adolf van Goorle ontvangt 200 gld voor het overbrengen der coquillen,Navorscher 1914 p 212/Tresoriersrekening 's Gravenhage,,,,
1071013,1614,"Goorle, van","Pieter Adriaensz van Goorel, burgemeester van Besoyen",Inv Oud Arch Gem Besoyen p 41,,,,
1071014,1625-12-31,"Goorle, van","huwelijksregister Bergen op Zoom: Wouter Bruce, vendrigh x Lucretia van der Hamme, weduwe van Jan van Goorle, sergeant",Taxandria jg 32 p 288,,,,
1071015,1695,"Goorle, van","schepenen van 's Hertogenbosch: Jan Henric van Goirle 1695, sterft 06-12-1696",Butkens: Brabant II p ?,,,,
1071016,1698-01-14,"Goorle, van","Joannes van Goirle, biechtvader van de parochie van St Walburgis te Antwerpen",Ned Leeuw jg 1885 p 57,,,,
1071017,"1527, 1568",Goorn,"schepen van Hoorn: Mathijs Dirksz Goorn; 1568: Dirk Mattijsz Goorn, ook in 1570, 1572 ""verliep""","Velius: Kroniek van Hoorn p 13, 22",,,,
1071018,1290-06-12,Gillon,"Guy, graaf van Vlaanderen, zijn oudste zoon Robert en hertog Jan van Brabant doen uitspraak in het geschil van Floris V met de Zeeuwse edelen",v.d. Bergh II no 723,"op Wolfaartsdijk: Wallames zoon van Gillon, Pierrre zoon van Pierron, Jehan de Scenghe, Wautiers Zoete; op Scherpenisse: Clais de Mairlant (?), Hues de Stenland, Jean zoon van vrouwe Natalie",,,
1071019,1240,"Gommengys, de",stamreeks  de Gommengys,Miraeus: Opera Dipl I p 760,,,,
1071020,1500~1530,"Gorcum, van","Hypolitus van Gorcum, dochter Digna van Gorcum x Jan Persijn, secretaris Hof van Holland",Batavia Illustrata bl 1048,,,,
1071021,1410~,Gorentijn,zie op: Colentijn of Colentier,,,,,
1071022,1470-11-22,"Gorp, van","Wouter, wilnere Jan Wouter Schellekensz de Gorp, tient un fief à Gorp, dans la paroisse de Hilvarenbeek",De Raadt III p 377/Genealogie Schellekens in La Noblesse Belge 1891,,,,
1071023,"1485, 1489, 1533","Gorter, de","Coppijn de Gorter ""veertig"" te Delft, overleden 1495; 1489-11-11: Cornelis Jacobsz Gorter kerkmeester van de Nieuwe Kerk te Delft; 1533-02-17: overleed Adriaen Jacobsz Gorter, ""veertig"" te Delft","Bortet: Delft p 81, p 307",,,,
1071024,1560,Gorter,"leen van Amstel: no 61C) Jan Cornelisz Gorter bruikt een zate uit 200 morgen in Weesp, Weesperkarspel en Bijlmerbroec; idem: Claas Dircsz, Gysbert Claesz",Ons Voorgeslacht 09-1988 p 382,,,,
1071025,1577-10-30,Gorter,Jan Walichsz Gorter c.s. verkopen aan de stad Alkmaar drie stroken van de erven achter huizen op het N.O.einde van het Luttik Oudorp (afgenomen in het beleg),Bruinvis Aanv Inv I p 92,,,,
1071026,1642-12-18,Gorter,losrenten kantoor Medemblik: verschijndag 01-10 Hendrick Pietersz gorter fl 400 - fl 16; 1665-11-17/12-09: Hendrick Pietersz gorter fl 1000 - fl 40,Arch. Gecomm Raden Noorderquartier Inv no 51,,,,
1071027,1640-08-23,Gorter,losrenten kantoor Medemblik: verschijndag 09-03 Pieter Pietersz Gorter fl 800 - fl 32; 1642-05-08/05-19: Maritje Pieter Gortersdochter fl 400 - fl 16; 1645-05-19/05-27: Pieter Pietersz Gorter fl 500 - fl 20; 1647-10-10/11-01: Pieter Pietersz Gorter fl 600 - fl 24,Arch. Gecomm Raden Noorderquartier Inv no 51,,,,
1071028,,"Gorter, de","stamreeks: Adriaan de Gorter, zijn zoon Frans de Gorter x Adriana Oem van Muylwijk","Batavia Illustrata bl 1012, 858",,,,
1071029,1702-10-03,Gorter,"Cornelis Janse Gorter, grutter van Saandyck, getrouwd met Breghje Simons dochter van Simon Pieterse varentman en poorter",Poorterboek Amsterdam X fol C.G.,,,,
1071030,1304~,Goud,"leen van Putten in het land van Putten: Reijngaer Goud 5 gaarden land aan de westzijde van de weer, daer hij op woont, in Kathendrecht",R.G.P. Grote Serie no 171 Rek Dom van Putten dl II p 265,,,,
1071031,1361-1393,Goud,"leen van Putten in het land van Putten: Reijner Goud, 5 gaarden land in het ambacht van Katendrecht in Allaerd Oems weer; later: een wyf die hiet Willem Zonderland houdt 3 gaarden in Katendrecht in t Voswere op de oostcant; Willem Stoepsz 3 gaarde 1 ½ voet in Katendrecht, in Vrankenland, die Ghibe Jansz hield en overgaf aan Willem Stoepsz",R.G.P. Grote Serie no 170 Rek Dom van Putten dl II p 344,,,,
1071032,1394-1395,Gout,"landpacht te heer Aerntsberghe ontvangen van Aernt Gout 2 ½ Dordr gld, maakt 22 sc 4d; 1395-1396: hoenre op de erven te St Geertruidenberg, Arent Gout 7 ½ hoen","Rek Rentmeester Zuidholland fol 16v/p 311, fol 8/p 320",,,,
1071033,1430,Goud,"Adelise Heijn Goudsdochter en Marikyn Jan Jelyszdochter, Zierikzee, rente op Haarlem, een half jaar 14 £ 6 sc 8d (184 fol 84); 1429-1430: (fol 15v) Jelijs en Margriet Jan Jelysz twee kinderen gewonnen bij Adelise Heyn Goutsdochter, kopen lijfrente van 20 Wilh sc per jaar op Haarlem voor 240 £  16 sc 8d; Adelise Heijn Goutsdochter en haar dochter Marikijn kopen hetzelfde, Jan Jelisz betaalt hiervoor 240 £ 16 sc en 8 d, hij zal zijn leven lang heffer van deze rente zijn;1431-1432: (fol 37v) hun rente 15 £ 14sc 4d; 1432-1433 (fol 27): hun rente 16 £ 13sc 4d; 1434: (188 fol 11v) zijn  rente 17£ 6sc 8d; 1435-1436: (189 fol 47v) Adelise Heijn Goutsdochter en Marike Jan Gillisz dochter, hun rente 25£ 6sc 8d; 1442-1443: (fol 43) Jelis en Margriet Jan Jelisz dochter bij handen Pieter Gout Henricsz 28 £ 6sc 8d


","Thesauriersrekening Haarlem 184, 188, 189",,,,
1071034,"1477, 1480",Goud,Raad of schepen in Dordrecht: Symon Gout Jacobsz,Balen: Dordrecht p 297,,,,
1071035,1582-10-31,"Gouda, van","Jean, Thiery en Cornil de Gouda van Swindrecht, broers, ont été annoblis sans finance par lettres patentes depêchées à Lisbonne le 31 jour de mois d'Octobre 1582; 1584-12-12: furent depêchées à Madrid pour Jean de Gouda van Swindrecht Sindicq de Groenwijke lettres patentes de Chevalerie","Roux, J. le: Recueil de la Noblesse p 63, 69",,,,
1071036,1551<,"Goirle, van","Jan Woutersz van den Kerckhoff, dochter Ida van den Kerckhoff alias van Ghoirle, gestorven vóór 1561 x vóór 1551 Laureijs Willem Colen, geboren ± 1510, woonde eerst te Oisterwijk, later te Tilburg, gestorven ± 1565",Taxandria jg 43 p 9,,,,
1071037,1220,"Goude, van der ","deken en kapittel van St Salvator te Utrecht geven Gerrit Wouter genaamd Spierinck, ridder, de broektiende en heerlijkheid Stref, gelegen omtrent ter Goude, voor 5 sch per jaar, in pacht; 1289: Sophia erfdochter van der Goude heeft deze tiende in erfpacht",Brom regest no 694/Ned Leeuw jg 1921,,,,
1071038,1243-08-17,"Goude, van der ",graaf Willem II neemt de kooplieden van Lubeck en Hamburg in zijn bescherming,v.d. Bergh I no 397,"Mechteldis mater mea, Folpertus de Lecca, Wilhelmus de Thelinge, Nicolaus Persin, Theodericus de Wassenar, Theodericus de Ghouda, Nicolaus de Putte, Heinricus de Vorne, Wulfardus de Malstede, Godefridus de Cruninghe, Wilhelmus de Strine, Wilhelmus de Outena, Nicolaus de Berssalia",,,
1071039,1252-06-18,"Goude, van der ",Roomsch-koning Willem II geeft privilege aan de stad Utrecht,v.d. Bergh I no 564,"testes: Arnoldus de Wesemale, Henricus de Vorne, Nicholaus dictus Persijn, Theodericus de Goude, Philippus de Wassenare, Wilhelmus de Brederode, Hugo de Cralingen, milites; Theodericus de Teylinge",,,
1071040,1260-08-25,"Goude, van der ","Aleid voogdes van Holland verkoopt enige (7) hoeven veen onder Zuid- en Noord Waddingsveen aan Nicolaus, schout van Waddinxvene, Woubertus zoon van Cristine, Gherardus de Woude et sociis eorum, door bemiddeling van Florekyn, baljuw van Noordholland",v.d. Bergh II no 67,"testes: Th de Teylinghe, Wilhelmus de Brederode, Th de Gouda",,,
1071041,1260-1262,"Goude, van der ","Wouter Gerrit burggraaf van Montfoort - nomine uxoris- was volgens Buckell een broer van heer Dirk van der Goude, waarvoor het door hem gevoerde wapen pleit",Ned Leeuw jg 1921,,,,
1071042,1281-1284,"Goude, van der ","lenen ten tijde van Floris V (vóór 1282-11): no 5) in Alfen: Gerardus de Goude 30 jugera tussen Alfen en Goude, zoals zijn vader en grootvader hielden van de graaf; 1281: grafelijk leen in Rijnland: no 53) ± 30 morgen land tussen Alphen en Gouda: Broek, Thuil en t Weegje, Gerard van der Goude zoals zijn vader en grootvader",De Fremery no 228/Ons Voorgeslacht 06-1987 p 407,,,,
1071043,1282-08-15,"Goude, van der ","Jan van Renisse, zijn zoon Jhan met zijn vrouw Sophia jvr van der Goude worden beleend met de tolvrijheid ter Goude",v.d. Bergh II no 462,,,,
1071044,1285-07-18,"Goude, van der ","Johannis van Renisse gehuwd met Sophie van der Goude is in de derde graad verwant met haar: zoon van Nicolaus de Cats; paus geeft goedkeuring dat huwelijk in stand blijft. (Sophie opgevoed ten huize van Nicolaas van Cats, was bestemd tot vrouw van diens zoon Jan en na diens vroege dood voor zijn broer Nicolaas. Nicolaas sloot een ander huwelijk en zij trouwde Jan van Renesse, verwant aan van Cats in de derde graad)",Brom regest no 359; De Fremery regest no 234,,,,
1071045,1289-02-23,"Goude, van der ","Sophia van der Goude heeft van het kapittel van Oudmunster in erfpacht genomen de Broektienden, tegen een jaarlijkse pacht van 30 sol Traj, en draagt dit over aan haar man Jan van Renesse, na zijn dood te komen op haar erfgenamen, belend: ""inter Henrics slote a parte septentrionali, et Yslam a parte meridionali, ac inter siitwendam in qua nunc moratur Wilhelmus dictus Albus a parte orientali, et Piec Lede ab occidentali parte""; 1306: hun dochter Margriete ontvangt dit in leen",v.d. Bergh II no 651,bezegeld door Herman heer van Woerden,,,
1071046,1291-08,"Goude, van der ","Henrick Rover van Montfoort verklaart dat Gerrit Wolters, ten overstaan van hem, aan het Utrechtse Domkappittel de eigendom van 3 viertelen land in het land van Montfoort overgedaan en weer van het kapittel in erfpacht genomen heeft",Brom regest no 2420,,,,
1071047,1293-08-28,"Goude, van der ",graaf Floris V verklaart dat de vrouwe van Voorne en haar zoon zich verdragen hebben met jvr Mabelia van Voorne over de erfenis van heer Aelbrecht van Voorne,v.d. Bergh II no 855/856,"getuigen: Jan van Renesse, Diederic van Brederode, Nyclaes Persijn, Jacob van den Woude, Jan van der Goude, Willam van Outshoernen, ridders; Philips van Wassenaer, Jan van Teylinghe, Jan van Haemsteden, Henric Renesse, Florens van der Woert, Jacob van den Woude",,,
1071048,1303-02-03 (1302),"Goude, van der ","de bisschop van Utrecht bericht de priester in Polsebroec, dat hij als scheidsrechter in de strijd tussen deken en kapittel van St Jan en Fredericus [van der Zevender], knape, zoon van Symon de Gouda, over 11 morgen in Polsebroec, gelegen in het rechtsgebied van Gerardus de Vliete, knape, tussen het land van Coppardus Grete en dat van Johannes de Warden, dit land aan deken en kapittel heeft toegewezen en beveelt hem de bevolking daarvan in kennis te stellen. Wil de tegenpartij nog aanspraken doen gelden, dan is de bisschop bereid haar te horen",Reg Oork Bisschoppen van Utrecht no 27,,,,
1071049,1308-08-15,"Goude, van der ","graaf Willem geeft aan zijn broer Jan van Henegouwen, als vaderlijk erfdeel, de goederen van der Goude, zoals de heer van der Goude van zijn voorouders hield",Van Mieris II p 77,,,,
1071050,1311-05-23,"Goude, van der ","Fredericus zoon van Symon van Goude, famulus, doet voor het gerecht van Haestrecht afstand van de eigendom van een hoeve land aldaar tbv het kapittel van St Pieter te Utrecht en krijgt het weer in erfpacht; vergezeld van Frederiks zegel met randschrift. 1331-09-21: zijn zoon Simon van Zevender wordt ermee beleend",Ned Leeuw jg 1921,,,,
1071051,1325-12-14,"Goude, van der ","graaf Willem geeft aan Reynoud, zoon van Gelder, en heer Domaes van Diest, macht om uitspraak te doen over de verschillen tussen de bisschop van Utrecht en de heer van Keppel",Van Mieris II bl 371,per dominum de Yselsteyne en Wouter Gheryts [van der Goude],,,
1071052,1321-10-28,"Goude, van der ","grafelijk leen:  heer Jacob van Moerdrecht houdt de korentiende en smaltiende, belend door de tiende van heer Jan van Henegouwen en Jan van der Ghoude, en de Proest tiende, strekkende tot aan de Piclede, tussen de Ghoude en Gheraerd Heynen sloot",Van Mieris II bl 266,,,,
1071053,1327-03-20,"Goude, van der ","Wouter Gheret [van der Goude] maakt met toestemming van de graaf tot lijftocht voor zijn vrouw Ghertrude, zijn woning met 4 morgen land gelegen aan de Yssel te Wilnesse",Ned Leeuw jg 1921/Reg EL 37 fol 9v,,,,
1071054,1327-11-27,"Goude, van der ","bisschop Johan van Utrecht verbindt zich om aan Johan van Leeuwenberch de van hem geleende 390 £ zwarte Tournoysen terug te geven, wanneer deze niet op tijd het schoutambacht van Utrecht verkrijgt",S. Muller: Reg en Rek Bisdom Utrecht dl I p 102,"borgen: Ghisebrecht van Yselsteyn, Arnd van Yselsteyn, Steven van Zulen, ridders; Otto van Yselsteyn, Herman van Zulen, Pirod van der Dore, Wouter Gherijd [van der Goude], Cosyn van Ysselt, Willem Vlaminc, knapen",,,
1071055,1328-04-25,"Goude, van der ",computacio domini Arnoldi de Yselsteyne de receptis in officio Amersfordie de anno 26 et de anno 27,S. Muller: Reg en Rek Bisdom Utrecht dl I p 69,"episcopus Zudensis, decanus St Johannis Traj, Johannes de Yselsteyn, dominus Thomas, Stephanus de Zulen, Henricus de Lonreslote, Swederus de Zulen, Walterus Gerardus [van der Goude], Cusiin en Hubertus notarius",,,
1071056,1329-01-08,"Goude, van der ","bisschop Jan van Utrecht oorkondt dat Wouter Gheryd, onze knape, het ambacht, ""daten marscalcambacht tobehoerd"", aan deze zijde van de Yssel in zijn land zal bewaren, waarvoor hij 150 £ per jaar krijgt; 1331-04-02: idem","S. Muller: Reg en Rek Bisdom Utrecht dl I p 104, 105, Van Mieris II bl 513, 515",,,,
1071057,1329-05-01,"Goude, van der ","computacio de anno 28, facta in anno 29, dominus Arnoldus de Ysselsteyne",S. Muller: Reg en Rek Bisdom Utrecht dl I p 261,"dominus de Abcoude, Walterus Gerardus, dominus Johannes Vlaminc, Petrus camerarius, Hubertus notarius",,,
1071058,1331-01-18,"Goude, van der ",Wouter Gerrit [1369-01-09 werd ermee beleend: Jan Vlaminc Wouter Gerritsz en na diens dood zijn zoon Wouter van Mathenesse] draagt 7 ½ morgen land in Rubroeck bij Sluipwijk op aan heer Jan van Polanen en ontvangt ze weer van hem in leen,Ned Leeuw jg 1921,,,,
1071059,1331-09-21,"Goude, van der ","het kapittel van St Pieter te Utrecht beleent Simon van Zevender als leenvolger van zijn vader Fredericus zoon van Simon de Goude, met een hoeve land te Haastrecht; zegel: twee beurtelings gekanteelde dwarsbalken, randschrift: Simon van der Zoevendaer",Ned Leeuw jg 1921,,,,
1071060,1331,"Goude, van der ","woensdag na St Ponc, de bisschop van Utrecht schenkt aan Wouter Gheryt een deel van het zoengeld van zijn neef Wouter Gheryt, voor het huwelijk van zijn dochter",R.A.U. Reg Guidonis/Reg en Rek Bisdom Utrecht dl II p 146,,,,
1071061,1332-04-21,"Goude, van der ","Wouter Gherret Symonsz van der Goude, knape, oorkondt dat hij zijn heer Arnoud van Yselsteyn, ridder, schadeloos zal houden betreffende 100 £ zwarte Tourn, die hij voor hem als borg gesteld heeft aan Ghisebrecht Falien, burger te Amersfoort",Codex Dipl Neerl 2e Serie afd 1 p 30/Arch Buren,Dideric Cosyn van Ysselt en Willem Vlaming (sinen = uitgewist) broer,,,
1071062,1334,Goude,renten Noordholland: in Pinackerambacht: in Vlieland: Dirc Goude 23d 2 oct 4 twal,Rek Rentmeester Noordholland p 195,,,,
1071063,1334,"Goude, van der ","renten uten Broeke te Mordrecht: - heer Jacob van Scobben 19 ½ viertel land, daar elk viertel 5 ½ sc en 1 hoen geeft: o.a. Gherid van der Ghoude 1 viertel: 5 ½ sc 1 hoen. Ontvangsten in Noordholland: renten in Hagheambacht, Up die Gheest: Jacob van der Goude 4 d","Rek Hen Huis I p 216, 179",,,,
1071064,1344-08-20 - 1345-05-26,"Goude, van der ","ontvangsten rentmeester Noordholland: van besterfte en verkochte goeden: - van de huur van het land aanbestorven van Dirc van der Goude in Zevenhoeven, 16 sc",Rek Hen Huis II p 116,,,,
1071065,1346-06,"Goude, van der ","lenen graaf van Holland: opschrift: Wouter Gheretsz van der Goude; Jan Vlaminc houdt in leen: - 1 viertel land in het gerecht van Steyne waar zijn woning op staat, hijzelf belend aan beide zijden; - 12 gaarden in de Nuwenbroek bij de Gherweg, en dat van Dieric Drusing was",Bijdr Hist Gen jg 1901 p 274,,,,
1071066,1346-12,"Goude, van der ","lenen graaf van Holland: Dirc Mathijsz van der Goude houdt een akker land in het ambacht van Zevenhoeven [Zevenhoven tussen Vreeswijk en Jaarsveld ?]; - Clays Mathijsz in het kerspel van Worden houdt 12 morgen; aantekening van 1376: gelegen op het Lage Rietvelt tussen Vriese van der Mye en Jan Hermansz, dit houdt nu zijn zoon Mathijs",Bijdr Hist Gen jg 1901 p 287/Reg EL 5 fol 109r,,,,
1071067,1350~,"Goude, van der ",leen te Schoonhoven: gekocht door Claes Rode Hermansz,Bijdr Hist Gen jg 1901 p 152,"in tegenwoordigheid van de heer van der Lecke, Jan die Moelnaer, Jan van der Goude, Jan Vlaminx, Gherart die Burgher",,,
1071068,1354-06-19,"Goude, van der ","Dieric van Brederode, ridder, belooft in 's graven gevangenis weer te keren op verbeurte van 2000 oude gouden schilden",Van Wyn: Huiszittend Leven II p 182,"borgen: Jan van Henegouwen, Aernoud van Randerode, Janne van Haerlaer heer van der Ameyde, Janne van Hoeclem, Janne van den Poele, Gheride van Egmonde, Jacob van den Woude, Janne van der Goude, ridders; Daniel van der Merwede, Jan van Langherac, Symon van Teylinghe, Janne van den Zile, knapen",,,
1071069,1369-01-09,"Goude, van der ","de heer van de Lecke beleent na dode van Wouter Gerrit, diens zoon Jan Vlaminc Wouter Gerritsz [na hem zijn zoon Wouter van Mathenesse], met 7 ½ morgen land in Rubroeck bij Sluipwijk",Ned Leeuw jg 1921,,,,
1071070,1300~1400,"Goude, van der ","genoemd: d'après Gelre, Jan van der Goude, homme du ""duc"" de Hollande, met wapen",De Raadt I p 506,,,,
1071071,1412,"Goude, van der ","arbitrale uitspraak van Dirk Beynken c.s. als scheidsmannen namens de graaf van Holland, in een geschil tussen het kapittel van St Pieter te Utrecht en Jan Aelbertsz van der Goude, over hun aanspraken op 8 morgen land in Diemerbroec",Cat Arch Kapittel St Pieter no 460,,,,
1071072,1398,"Goude, van der ","Johan van Almelo x Sophia de Gouda, dochter van Johan de Gouda, ridder",Batavia Illustrata bl 1190,,,,
1071073,1436-04-23,"Goude, van der ","leen van Putten: 16 (10?) £ Holl jaarlijks uit de camer (in 1472: 12 £ ): Wouter van Mathenesse zoals zijn overgrootvader Jan Vlaminck van der Goede verkreeg van Aleid vrouwe van Putten [1351-1360], te lossen met het tienvoudige (1355: Jan Vlaming als getuige vermeld)",Ons Voorgeslacht 1979 p 191/Ned Leeuw jg 1921 p 376/Van Doorninck: Inv verzameling Charters,,,,
1071074,1455-06-17,"Goude, van der ","Dirk van der Goude Costijnsz draagt voor schepenen van Leiden over aan mr Jan van Leyden 17 hond en 11 gaard land, genaamd de langhe Wante aan de Heerstrate in Oegstgeest; vgl 1383-02-15: waar zijn vader Costijn van der Does genoemd land koopt van Jan van Alkemade",Arch Gasthuizen Leiden regest no 638,,,,
1071075,1492-07-29,"Goude, van der ","Gijsbrecht van der Does van der Goude draagt over tbv zijn moeder jvr Heylwijf heer Gysbrechtsdochter van Brederode, weduwe van Willem van der Goude, een viertel land in het land van Stein bij Gouda, die hij onder meer van de grafelijkheid van Holland in leen hield, met verzoek om jvr Heylwijf hiermee te belenen. 1493-10-10: jvr Heylwijf passeert te Vianen een volmacht om dit leen voor haar te verheffen en wordt 1493-11-11 beleend; 1510-02-26: zij draagt dit leen over",R.A.H. Coll Aanw 110 caput NH fol 23,"leenmannen van Holland: Philips Willemsz, Joost Willems, Dirck van Boneem, ondertekend door Joost en Drick, bij gebrek en absentie van onsen zegelen",,,
1071076,1493-06-30,"Goude, van der ","leen van Vianen: no 706) 2 ½ morgen in Outena: Cornelis Engbertsz bij overdracht door Costijn van Goude voor zijn vrouw Hildegond van der Donk, gemeen met het gasthuis; 1537-03-05: Engbert Gillisz na dode van zijn oom Cornelis Engbertsz; 1569: Engbert Gillisz, gebruikt door hemzelf, 107£ per jaar waard; 1576-11-28: Willem Engbertsz te Vianen, na dode van zijn vader Engbert Gillisz",Ons Voorgeslacht 07-1988 p 318,,,,
1071077,"1505, 1518","Goude, van der ","studeren te Orleans: 1505: mr Arnoldus zoon van Johannis de Goude, Traject diocesis; misschien mr Aernt van Dorsten, rector van het gymnasium te Gouda in 1533; 1518: mr Cornelis Joostenz Traject diocesis","Bijdr Hist Gen dl 34 p 325, 323, p 88",,,,
1071078,1529-06-18,"Goude, van der ","huwelijksvoorwaarden tussen Jan Jansz van der Goude en Lysbeth Pieter Pauwelsz dochter van Tetroede, waarbij Jan Jansz landerijen in de heerlijkheid Rosendael, in Krimpen bij Gouda, renten op landerijen in Gouda, Bodegraven en Zwamerdam inbrengt en Lysbeth renten op landerijen en kloosters in Leiden, zilver etc",Inv Arch Wassenaer-Starrenburg regest 32,"met goeddunken van haar moeder Erckenraet Pietersdochter, Michiel Jansz van Tetroede weduwe en haar moeien Claertgen Pietersdochter, Jan Stoop Kerstands weduwe en Alydt Jansdochter van Tetroede, Pieter de Grebbersweduwe",,,
1071079,1534-04-16,"Goude, van der ","notaris Jodocus Corvink instrumenteert dat Adriana Jansdochter van Berckenroede van den Gouwe zekere testamentaire beschikkingen maakt ten voordele van kerken, gasthuizen en armen te Gouda en Haarlem en ook van haar bloedverwanten; te Den Haghe ten huize van mr Huyg van Assendelft, kanunnik van OLV kapel op het Hof in Den Haag [vgl 1529-06-18: Adriana Jansdochter van der Goude x Gerrit van Berkenrode]",Inv Arch Wassenaer-Starrenburg regest 35,,,,
1071080,1400-1421,"Gouda, van","Joannes van Gouda, sacerdos-monachus Egmundensis vermeld 1400 en 1421",J. Hof: Abdij Egmond p 481/Dessing 55/Inv 798,,,,
1071081,1223-1296,"Goude, van der ","lijst van Hollandse edelen: 1223-1234: Diderik van der Gouw, ridder; 1255: Dirk van der Goude; 1296: Dirk van der Goude","Batavia Illustrata bl 741 no 73, 742 no 75, 1198",,,,
1071082,,"Goude, van der ","genoemd: van der Goude van Zevender, hieruit: Simon en Frederik van Zevender (gestorven 1375); Willem van der Goude x Heilwig van Brederode; Sophia vrouwe van der Goude x Jan van Renesse; Adriana van der Goude x Gerrit van Berkenroede (gestorven 1534); Willem van der Goude, in 1405 aanwezig bij beleg van Hagesteyn","Batavia Illustrata bl 1187, 888, 1059, 859, 745",,,,
1071083,1297-03-24,"Goude, van der ","leen 10bis): koren- en smaltiende v.. Keten, ver Sofie van der Goude gehuwd met heer Jan van Renesse. Bij gebreke van een zoon, haar oudste dochter ; 1308-08-20: Jan van Henegouwen zoals de heren van der Goude dat in leen hebben. Beleningen gelijk aan leen no 18. 1397-12-30: verstorven bij dode van de graaf van Bloys","Ons Voorgeslacht 05-1988 p 212, 06-1987 p 407/JW des Tombe: het geslacht Renesse 1987 bijlage E/Arch van Slingeland",,,,
1071084,1304,"Goude, van der ","lenen van Strijen, gehouden van de heer van Putten: Symon van der Goude in Houweningen houdt 4 morgen land, belend boven ten zuiden: Aechte Heynen, beneden: Heylwi ver Idendochter",R.G.P. Grote Serie 171 Rek Dom Putten II p 269,,,,
1071085,"1571, 1572","Goudhoeven, van~","schepen van Dordrecht: 1571: Damas heer Woutersz; 1572-09-28: Dammas van Goudhoeven heer Woutersz; op 16 december in zijn schepenen gekomen in plaats van met name genoemde schepenen Damas Wouters, absentem ofte fugitivem (gezegd: glippers)",Balen: Dordrecht p 322,,,,
1071086,1484-07-02,"Goudhoeven, van","leen van Arkel: een stuk land genaamd Goudhoeve in Bleskensgraaf aan de noordzijde in de Zevenhoven, bij onderzoek 12 morgen groot, geldend in de dijkhoeve 8 morgen, jaarlijks 7 £ 10 sc waardig: Jan Blaskein van de Wisschel na dode van zijn vader Willem Dirksz; 1629-06-20: Joost Hendriksz fabriekmeester te Dordrecht, voor zijn zoon Hendrik voor fl 386 per morgen; 1647-06-17: Nicolaes Joostenz van Goudhoeven te Dordrecht bij dode van zijn broer Hendrik Joostenz van Goudhoeven",Ons Voorgeslacht 03-1985 p 72,,,,
1071087,1591-05-30,"Goudhoeven, van","leen van Arkel: 12 morgen land in Bleskensgraaf met de huizingen daarop en de singel omtrent de gracht, strekkende van de Graafstroom tot de Geer aan de kade, belend ten oosten: Backweer, westen: Kyfland, 1591-05-30: Arnout Bertouts voor zijn vrouw Machtelt Screvels, bij dode van haar moeder Wilhelmina van Drenkwaard, weduwe van Screvel Ockersz, tresorier te Dordrecht. 1609-10-07: Willem Gerritsz bij overdracht door Arnout Bertoutsz van Goudhoeven namens zijn vrouw ",Ons Voorgeslacht 03-1985 p 71,,,,
