id,datum,voornaam,patroniem,inhoud,bron,getuigen,bijzonderheden
2011595,1494-1495,Claes ,Woutersz,schepen van Sloten: Claes Woutersz (922 fol 27v),Rek Rentmeester Kennemerland,,
2011596,1422-1423,Claes ,Wissenz,"Florys, zoon van Claes Wissenz: afterstal van Vroonland van Eijl Heynenz 3 £ (852 fol 9v)",Rek Rentmeester Kennemerland,,
2011597,1406,Claes ,Wolfertsz,Claes Wolfertsz: van de tienden van Oesterblocweer 10 £ 10sc (837 fol 8),Rek Rentmeester Kennemerland,,
2011598,1356,Claes ,Woutersz,"Claes Woutersz: de biertollen te Scoerle 6 £, mijns heren bode in Kennemerland van sinen clederen 50sc (803 fol 9, 16v); 1356-1357: (804 fol 22) van idem 45sc; 1357-1358: afterstal van 1357 van de herfstbede in Kennemerland 74 £ 19sc 9d, de voederpenning aldaar 14£ 12sc 4d, de thins in Akersloot 8sc 6d, in Utgheest twischen Yfdam 4sc, de Vronescout in Limmen en Hello 28sc (805 fol 30v); (fol 14) de biertollen in Scoerle 5£ 10sc, in Limmen en Oesdam 36sc",Rek Rentmeester Kennemerland,,
2011599,1415,Claes ,Woutersz,"Claes Woutersz: die de zeevond bewaert tot Zandvoirt, voir zyn rocke 3 £ 10sc (845 fol 10); 1416 (fol 9), 1417 (fol 9), 1418 (fol 8), 1424-1425 (856 fol 9v), 1425-1426 (857 fol 8v), 1427 (857 fol 25v): zeevonder tot Zantvoert, zijn rock 3 £; 1411: (841 fol 9v) besterfte tot Zandvoort bij dode van Kerstant Claesz 9£ en Aernt van Rolland 8£",Rek Rentmeester Kennemerland,,
2011600,1356,Claes ,Wouter Yvenz,"Claes Wouter Yvenz: van zijn leen 10sc (803 fol 15v); 1354-1355: (801 fol 17v) van zijn leen van 1354, 10sc; 1355-1356 (802 fol 20), 1357-1358 (805 fol 22v), 1358-1359 (807 fol 26v), 1361-1362 (809 fol 24), 1363-1364 (811 fol 18), 1366-1367 (812 fol 23): van zijn leen 10sc",Rek Rentmeester Kennemerland,,
2011601,1476,Claes ,Willemsz,"tot Heemstede: Claes Willemsz op het oestend 1 nobel per jaar, hier gaet of 9sc. Hier oeck die kerc dat ⅙ deel of, facit ons deel, afgeslagen dat er af gaet 7 stuvers min 1 oort",Renten St Bavo Haarlem fol 24,,
2011602,1472-1490,Claes ,Willemsz,"schepen van Alkmaar: Claes Willemsz, 1478: burgemeester","Bruinvis: Alkmaar p 17, 24",,
2011603,1478,Claes ,Willemsz,"ouwe Claes Willemsz, van Haarlemmerlie, clock Salvator",Kerkelijke Rek Haarlem fol 7v,,
2011604,1624-1638,Cornelis,Claesz,"schepen van Dordrecht: Cornelis heer Claesz (Nicolaasz), stierf in 1638, gesurrogeerd 1639-06-07",Balen: Dordrecht p 333-337,,
2011605,"1477, 1478",Jacob ,Claesz,schepen van Dordrecht: Jacob heer Claasz,"Balen: Dordrecht p 296, 297",,
2011606,1568,Claesgen,Jacob Alewynsdr,"Claesgen Jacob Alewynsdochter gescheiden van tafel en bed van Pouwels Cornelisz, bij wie ze een kind heeft; kwestie over de rechtsgeldigheid van het huwelijk, voor de deken van Rijland en voor de bisschop van Middelburg; kwestie over de alimentatie, beide bezitten elk 4000 gld (zonder plaatsnaam)",Grote Raad Mechelen Beroepen Holland dl VII dossier 622,,
2011607,1561,Claes,Jansz,"Claes Jansz, wonende te Haarlem, verhuurt aan Cornelis Lyclaesz een huis met 5 ½ morgen 2 hont teelland en weytland onder malcander, huur 82 ½ R gld",10e penning Heemstede 1561 fol 31 no 26,,
2011608,1561,Claes,Willemsz,"Heemstede: Claas Willemsz: bruyct zyn eygen lant, groot 5 hont teelland, ende is belast met het wilt te voeren ende dat tot s Conincshoef, ende is getaxeerd op 12 Kar gld",10e penning Heemstede 1561 fol 35v no 70,,
2011609,1561,Claes,Willemsz,"Claes Willemsz tot Santvoort verhuurt 3 morgen 5 ½ hont weytland [te Bennebroek] aan Gerrit Dircsz voor 45 R gld; 1544: morgenboek no 48; 1569: 100e penning, ""vierdalff morgen""","10e penning Heemstede 1561 fol 6 no 54, morgenboek 1544 no 48, 100e penning fol 7v no 2",,
2011610,1542-1547,Claes,Willemsz,"Claes Willemsz tot Scallickwyck, op 1547-01-07 begraven in de kerk",Kerkelijke Rek Haarlem fol 25,,
2011611,1545-09-10,Claes,Willemsz,Claes Willemsz en Cornelis Foeijtenz leggen voor het gerecht van Warmond een verklaring af,Grote Raad Mechelen Beroepen Holland dl I dossier 60/4,,
2011612,1571,Claes,Willemsz,"Claes Willemsz, gasthuismeester van het St Jorisgasthuis te Delft",Grote Raad Mechelen Beroepen Holland dl VII dossier 628,,
2011613,1559,Claes,Willemsz,"Nicolaus Guillielmi, Ziericxzeen, studeerde te Orleans",Bijdr Hist Gen Utrecht dl 34 p 326,,
2011614,1527,Claes,Wyntgesz,"Claes Wyntgens: ""item een vrou tot Scoten en leijt begraven in St Martenscapelle heeft gemaect tot een testament dese kerck een ghitten vyftich mit vergulde teykenen voir heer Claes van Castricom, capellaen, die dit te kennen gegeven heeft, die man hiet alst schynt hier after onder dat luyden van die clocken Claes Wyntgens. Voor die vyftich hebben die vrienden betaelt 35 st""",Kerkelijke Rek Haarlem fol 6,,
2011615,1527,Claes,Wyntgesz,"""op ten 21e in Junio is begraven in de kerck tot Schoten ten craemvrou Claes Wyntges 20st, over haer geluid alle die clocken 30st"" [laatste zin is doorgehaald]",Kerkelijke Rek Haarlem fol 10v,,
2011616,1453,Claes,Wouter,"""ontfangen van Claes Wouter en van Claes Beij 20 Post. gld van dat land tot Aelsmeer dat hij gecoft heeft jegens die kercmeesters van Haarlem""",Kerkelijke Rek Haarlem fol 35,,
2011617,1390-06-19,Claes,Woutersz,"leen van Amstel: no 27) 4 morgen in Muiden genaamd Paulushoeve, aan de zuidzijde, Claes Woutersz van Muden, in ruil voor no 158), met lijftocht op de helft voor zijn vrouw Elisabeth; 1399-03-02: Egbert mr Claesz van Muden bij dode van zijn vader; 1425-12-14: Egbert Claesz, gehouden van de hofstede van Muiden; 1440-07-21: Lambert Egbertsz bij dode van zijn vader; 1442-09-27: Lambert Lambrechtsz, niet te verzuimen; 1456-03-06: Lambert Lambertsz bij dode van zijn vader; 1490-12-31: Lambert Lambertsz, bij dode van zijn vader; 1517-05-18: Lambert Lambertsz, bij dode van zijn vader; 1521-12-04: Remmet Jansz bij overdracht door Lambert Lambertsz, het leen strekkende noordwaarts door de Zeedijk in de Silmer, belend oost: Arnout Willem Arnoudsz met de Smale hoeve, zuid: Jacob Gysenz, west: Gerbrecht Aris bakkersdochter met 4 morgen in Paulushoeve",Ons Voorgeslacht 09-1988 p 365,,
2011618,1361-09-20,Clara,Dirks,"stierf Clara, vrouw van Dirk, voor wie jaarlijks 10 schell gegeven zijn",Kroniek Egmond p 274/Dagregister; H van Wijn: Huiszittend Leven II p 127,,
2011619,1338,Clara,Diedwyns,"Noordwijkerhout, van beesten, afterstal van 1338: Clara Didewyns 3 sc",Rek Houtvester dl VII p 85,,
2011620,1561-12-31,Clara,Hermansdr,"van Alkmaar: - Frans Hermansz te Amersfoort;  - wijlen Clara Hermansdochter te Alkmaar x 1) Thomas Pieters, 2) mr Jelis van Sloten; - ….......... Hermansdochter x Jacob Bartholomeus, eerst te Alkmaar daarna waard in de Hertshoorn te Haarlem; kinderen van Clara: Otto Thomasz, Alkmaar en Hillegond Jelisdochter",G.A. Haarlem Recht Arch 83 fol 8v,,
2011621,1534,Clara,Jacobsdr,"Clara Jacobsdochter, Jacob Jacobsz en Gerrit Florisz, kinderen en erfgenamen van Elisabeth Jansdochter, zetten voor de Grote Raad het proces voort tegen de erfgenamen van Floris Hendriksz [te Gouda ?]; Elisabeth Jansdochter was wsch vóór 1518 een proces voor het Hof van Holland begonnen, o.a. tegen Floris Hendriksz, over goederen die haar ten onrechte ontnomen waren; het Hof gaf haar ongelijk, zij ging in appèl bij de Grote Raad, en overleed toen. Haar kinderen zetten het proces voort nu contra broeder Hendrik Florysz (klooster Marienstarre te Gouda], zuster Digna Florisdochter en Jan Dircsz, als erfgenamen van Floris Henricsz; deze beweerden niets van hun vader en resp. grootvader geerfd te hebben en dus geen partij te zijn",Grote Raad Mechelen Beroepen Holland dl IV dossier 389/2,,
2011622,1433-08-29,Clara,Floris Philipsdr,"leen no 66) 8 morgen te Hazerswoude, Claar Floris Philipsdochter, na dode van haar broer, krijgt totdat zij 17 jaar is, uitstel van hulde",Ons Voorgeslacht 10-1988 p 444,,
2011623,1338,Ludolf,Clarenz,"Lisse, van veenhuur: Ludolf Clarenz 2sc 6d",Rek Houtvester dl VII p 105,,
2011624,960-06-29,Clareboldus,,"Clarboldus, getuige voor Rutger die een schenking doet aan Gent",v.d. Bergh I no 34,,
2011625,972-10-06,Clareboldus,,"onder de nobiles, getuige te Gend, signum Clarboldi",Cartul de la Ville de Gend p 83,,
2011626,….-04-13,Clarissa,,"stierf Clarissa, laici, voor wie 1 mark zilver gegeven is",Kroniek Egmond p 259/Dagregister,,
2011627,1422,Ewart,Clauwardsz,schepen van Dordrecht: Ewart Clauwertsz,Balen: Dordrecht p 286,,
2011628,1365-1399,Sarys,Clauwardsz,schepen of burgemeester van Dordrecht: Sarys Clawardsz; 1394: Sisaris Clawaertsz,"Balen: Dordrecht p 278-281, 240",,
2011629,1490,Clement,Dircsz,havenmeester op Delfshaven: Clement Dirksz,Bortet: Delft p 116,,
2011630,1487,Clement ,Jacobsz,schepen van Delft: Clement Jacobsz,Bortet: Delft p 115,,
2011631,1561-1562,Clemens,Margarynsz,"Clemens Margarynsz, uit Breda: Theodoor Pietersz, de grootvader van zijn vrouw, had een vicarie gesticht in de St Nicolaaskerk te Dordrecht, die hij doteerde met 7 morgen in heer Oudelantsambacht; hij droeg voor de bediening zijn zoon Robbert Clemensz voor, doch een ander, geen familielid, werd tot vicaris benoemd; 1571-1577: op 1561-04-21 stelt Clemens Margarynsz zijn zoon Robbert tot vicaris aan","Grote Raad Mechelen Beroepen Holland dl VI dossier 562, dl VII dossier 642/1",,
2011632,1412,Clemens,Symons van Veen,"Clemens Symons van Veen tot Velsen, betaalt 20 sc (fol 7v); 1420: (fol 10); 1422 (fol 6), 1423 (fol 8): Clemens Symonsdochter, weduwe; 1425 (fol 7), 1426 (fol 7): Clemens Symons weduwe; 1428: (fol 6v) Clemens Symon Jacobsz weduwe",Kerkelijke Rek Haarlem,,
2011633,1522-1548,Willem ,Clementsz,"Raad of schepen van Dordrecht: Cornelis, zoon van Willem Clementsz; 1525: Willem Clementsz kwam in plaats van Gherit Willemsz",Balen: Dordrecht p 308-315,,
2011634,1343,Clemense,Ghey Vrankendr,"Aelbrechtsberg, van huur: Jongman Gheij Vrankenz 2d, zijn zuster Clemense 5d",Rek Rentmeester Kennemerland dl II p 230,,
2011635,1471-1472,Clemense,Gerytsdr,"Clemense Gerytsdochter koopt lijfrente van 10 R gld op Haarlem voor 120 £; Katrijn Gerritsdochter: idem, Grebber Gerritsz: idem (219 fol 9v)",Thesauriersrekening Haarlem,,
2011636,1473,Clemense,Jansdr,"Clemense Jansdochter, gehuwd met Allijn Claesz, moeder van Kerstyn, oud 10 jaar, en Claes, oud 9 jaar, lijfrente op de domeinen (fol 70v)",Thesauriersrekening Haarlem,,
2011637,1338,Willem ,Clemensen,"Aelbrechtsberg, van beesten: Willaem Clemensenz 3 scaren, 1 éénwinter an paerde 5sc",Rek Houtvester dl VII p 94,,
2011638,,Clotsondis,,"Adalbaldus princeps Duacensium x Rictrudis, fundatrix Marchianensem, post abbatissa, hieruit: Maurotus, Clotsondis, Eusebia Adalsendis",Miraeus: Opera Dipl I p 139,,
2011639,921-11-07,Cobbo,,"verbintenis tussen Hendrik I koning van Duitsland en koning Karel van Frankrijk, getuigen voor koning Hendrik comites: o.a Cobbo (of Coppo), Evrardus, Chonradus, Herimannus, Hat[t]o, Godefredus, Otto, Herimannus, Magenhardus, Fridericus, Foldac",v.d. Bergh I no 24,,
2011640,,Coenraad,de Salier,genoemd: diverse Coenraad's ,Miraeus: Opera Dipl I p 538,,
2011641,1338,Coen,,"Santvoert, van beesten: Coen, 3 scare, 1 éénwinter an vee 6 sc 8d",Rek Houtvester dl VII p 95,,
2011642,1338,Coenraad,,"omtrent de Hout, van camphuur: Conrard 13sc; Voorhout, van beesten, afterstal: Conraed 5sc 6d",Rek Houtvester dl VII p 106,,
2011643,1518-10-07,Coen,Cleysz,Coen Cleijsz is betrokken bij een geschil over visrecht in de Waal,Grote Raad Mechelen Beroepen Holland dl VII dossier 654,,
2011644,1519-08-15,Coenraad,Claesz,"Coenraad Claes, deurwaarder bij het Hof van Holland; 1528-06-12, 1527-05","Grote Raad Mechelen Beroepen Holland dl III dossier 299/1, dl IV dossier 343/1",,
2011645,1472-1473,Coenraad,Hermansz,"heer Koenraet Hermans, priester, koopt lijfrente van 18 R gld op Haarlem voor 210 £ (220 fol 10v)",Thesauriersrekening Haarlem,,
2011646,1426,Coenraad,Jansz,Raad in Dordrecht: Coenraad Jansz,Balen: Dordrecht p 287,,
2011647,1496-1497,Coen,Jansz,"Coen Jansz de leidecker, poorter van Haarlem, werkt 14 dagen met een knecht aan de Middelburg bij Alkmaar, op zyn zelfs cost, 8st sdages, facit 5 £ 12sc, materiaal 12 £ 19sc 6d (897 fol 52)",Rek Rentmeester Kennemerland,,
2011648,1544-1546,Coen,Jansz,"Coen Jansz, schepen van Poortugael, verkocht in 1516 drie gemeten land aan het klooster Nieuwlicht (Carth) bij Utrecht, voor schepenen van Poortugael. Hij had het land tot 1543 gepacht, doch stierf; zijn erfgenamen betwistten de rechtsgeldigheid van de koop zonder kerkgeboden gedaan; 1544-05-31: het gerecht van Poortugael eiste dat alsnog de kerkgeboden moesten plaats hebben; 1544-1546: proces waarin Pieter Jansz, schout van Poortugael, mede optreedt namens andere erfgenamen van Coen Jansz; 1541-10-01: Leendert Coenenz volgt hem in de pacht op",Grote Raad Mechelen Beroepen Holland dl V dossier 441,,
2011649,1545-1548,Coenraad,Pietersz,"schout van Heineoord: Coenraad Pietersz, proces",Grote Raad Mechelen Beroepen Holland dl V dossier 457,,
2011650,1489-10-30,Coenraad,Walichsz,Coenraad Walichsz en zijn broers Jan en Hendrik waren een maatschap aangegaan; Jan overlijdt en Coenraad eist zijn aandeel in de maatschap op. De weduwe van Jan (zij heeft een zoon) stelt dat het de scheiding van een erfenis is; ook Coenraad overlijdt en Hendrik zet het proces te Middelburg voort. De weduwe van Jan is intussen hertrouwd met Gerrit Adriaensz; Hendrik verliest het proces en gaat in beroep bij het Hof van Holland en daarna bij de Grote Raad,Grote Raad Mechelen Beroepen Holland dl II dossier 119/sententie,,
2011651,1484-1493,Coenraad,Florensz,Raad in Dordrecht: Coenraad Florensz,"Balen: Dordrecht p 299, 300, 301",,
2011652,1368,Coenraad,Coenraadsz,schepen van Dordrecht: Coenraad heer Coenraadsz,Balen: Dordrecht p 276,,
2011653,1368-1370,Coert ,Coertsz,schepen van Delft: Coert Coertsz,Bortet: Delft p 100,,
2011654,1417,Coen,Voppes,Coen Voppes: van de tienden van Hensbroec 42 sc (847 fol 3v),Rek Rentmeester Kennemerland,,
2011655,1338,Willem ,Coenenz,"Voorhout, van veenhuur: Willaem Conenz 2sc 6d ",Rek Rentmeester Kennemerland dl VII p 105,,
2011656,1344,Colaert,,"Collard van Hanon, myns heren camerling",Rek Rentmeester Kennemerland dl II p 344,,
2011657,1338,Colyn,,"Nortigherhout en Langhevelt, van veenhuur: - Maes Colynsz 2sc 6d; - Diric Colyn 5sc; - Ghered Colyn 2sc",Rek Houtvester dl VII p 102,,
2011658,1343,Matte,Colyn,"Tetrode, van huur: Matthe Colyns 4d",Rek Rentmeester Kennemerland dl II p 234,,
2011659,1316-1323,Colyn,ver Baertenz,Colyn veren Baertesz 40 sc van vechten jegen Croner,Rek Jan van Beaumont 1316-1323 VII p 445,,
2011660,1427-1428,Colyn,,"grote Colyn vangt met Walichtgen van Dunen vogelen op myns heren leggen met hun gesellen 6 £ (857 fol 42v); 1429-1430: (860 fol 10v) met Jan van Marout en Waelwyck samen 15 £; 1431-1432: (862 fol 8v) Colyn Walich te Tetrode genoemd, het zijn 2 personen; 1432-1433: (863 fol 12v) grote Colijn en Walich van Dunen",Rek Rentmeester Kennemerland,,
2011661,1336-09-12,Colyn,ver Baertenz,"grafelijk leen in Rijswijk: 20 sc in Rijswijk op ver Beatrijs Arnouts land, groot 9 morgen en 5sc op 4 morgen van Jan van den Burch te Rijswijk, Colyn ver Baerten bij opdracht; 1348-06-04: Symon Colynsz; 1355-03-27: Symon Colynsz van Haarlem ten eigen, waarna overdracht aan mr Dirc van Tienen",Ons Voorgeslacht 12-1984 p 547,,
2011662,1440,Colyn,Dirc Willemsz.z,"Colijn Dirc Willemsz.z, Dordrecht, 2 brieven op Haarlem, die na dode van Otte Jan Wolfartsz.z op hem staan, ½ jaar rente 17 £ 3sc 9d 1 mite (195 fol 59); 1437-1438: (fol 37v) Otto Jan Wolfertsz en Colyn Dircx, hun rente 16 £ 9sc 4d; 1442-1443: (fol 50v) Colyn Dirc Willemsz.z 35£ 2sc",Thesauriersrekening Haarlem,,
2011663,1361-1393,Colyn,Everdeysz,"leen van Putten in Zuid Holland: Monne Diederixz houdt ½ hoeve land in het ambacht van Alblas, die Colyn Everdeysz hield, en die Witman Bartelmeusz heeft opgedragen aan Monne Diederixz",R.G.P. Grote Serie 170 Rek Dom Putten dl II p 347,,
2011664,1430,Colyn,Jorisz,"Geertruid, dochter van Colijn mr Jorisz, vrouw van Nyclaes Voxi, met haar oudste dochter Jannetge, Dordrecht, 6 Wilh sc op Haarlem 74 £ 7sc 6d (184 fol 12v, 13); 1431: (fol 43) Geertruid Colijn meester Joryssoensdochter, haar rente 4 £ 12sc; 1432 (fol 30), 1433 (fol 23v): haar rente 5£; 1434: (188 fol 17v) haar rente, samen met haar dochter Jannetge  5£ 2sc; 1435-1436: (fol 51v) 3£ 14sc 7½d; 1436-1437: (fol 41) met haar dochter Jannetge 3£ 14sc 8d; 1439-1440: (fol 33) met idem 4£",Thesauriersrekening Haarlem,,
2011665,1468-01-22,Colyn,Pietersz,"Colyn Pietersz, eiser, contra Roelant Andriesz, uitstel; 1468-02-03, 1468-02-09, 1468-02-11, 1468-02-24, 1468-03-14, 1468-03-17: uitstel","Coll Aanw 238 fol 169, 207, 252v, 278v, 312, 394v, 425/Memorien Hof van Holland",,
2011666,1342-1343,Dirc,Colynsz,"in Langhevelt, afterstal van boeten: Dirc Colynsz 5sc, Dirc Gerrit Colynsz 5sc; in Noordwijkerhout: Hughe Dirc Colynsz 1 £, Gerrit Dirc Colynsz en zijn broer Willem 10sc",Rek Houtvester dl VII p 123,,
2011667,1338,Gerrit ,Colynsz,"in Langhevelt, van wintval: Diric Ghered Colynsz 4sc",Rek Houtvester dl VII p 109,,
2011668,1395-1396,Claes,Colynsz,"afterstal: van Willem Claes Colynsz 24sc, te goede gedaen 6sc; van deselven Willem 6sc, te goede gedaen 2sc","R.G.P. 174 p 78, 79/Rek Baljuw Voorne fol 1",,
2011669,1395-1396,Coppyn,Colynsz,"Elias, zoon van Coppyn Colynsz: van harinc/harine (?) te werderseggen 32 sc, te goede gedaan 8sc",R.G.P. 174 p 83/Rek Baljuw Voorne fol 3,,
2011670,1350-01-08,Colyn,Florisz,"stierf Colyn zoon van Florens, lekebroer, die aan het klooster jaarlijks 2 scell besproken heeft",Kroniek Egmond p 248,,
2011671,1413-1418,Coppenanne,Claesz,schepen van Delft: Coppenanne Claisz,"Bortet: Delft p 105, 106",,
2011672,1349-1350,Coppert,Claesz,Coppert Claesz: afterstal van de tienden van Siboutskerspel (798 fol 33v),Rek Rentmeester Kennemerland,,
2011673,1415,Coppert,Dircsz,Coppert Dircsz: van de tienden van Zybekerspel 8 £ 15sc (845 fol 4),Rek Rentmeester Kennemerland,,
2011674,1494-1495,Cornelis,Dircsz,schepen te Heijloo: Cornelis Dircsz (922 fol 27),Rek Rentmeester Kennemerland,,
2011675,1363-1364,Coppert,Willemsz,Coppert Willemsz: afterstal van 1362 van der watertochte ? binnen Spanbroec 47 sc 10d (811 fol 3); 1362-1363: (810 fol 10) van der watertochte buten Spanbroeker somerdijc binnen den ban 41 sc,Rek Rentmeester Kennemerland,,
2011676,1495,Copwit,,"Copwit, te Amsterdam, levert 100 wagenscot voor 18 R gld",Kerkelijke Rek Haarlem fol 13,,
2011677,700~800,Coppo,,"Friese goederen van de abdij Fulda: Coppo comes tradium est St Bonifacio, due virge in villa dicitur Cuppargent, quas Eisbern tradidit et frater ejus Altbern ad censum 34 den",v.d. Bergh I no 9 Caput 65,,
2011678,1474-1475,Cornelie,,"Cornelie, natuurlijke dochter van Jan Dirc Claes Brantszdochter, Delft, kopen lijfrente van 30 sc gr Vls op Haarlem voor 132 £ (fol 19v)",Thesauriersrekening Haarlem,,
2011679,1561,Cornelis,Claesz,"Cornelis Claesz bewoont zijn eigen huis te Heemstede, getaxeerd op 7 Kar gld; Cornelis Liclaesz huurt een visserij van de vroonmeester wonende te Leiden, voor 22 ½ st","10e penning Heemstede fol 41 post no 1, no 2",,
2011680,1561,Cornelis ,Cornelisz,"Cornelis Cornelisz huurt een huis met ca 2 ½ hont teelland te Heemstede; eigenaar is Dirck Willemsz, wonende te Heemstede, huur 15 R gld ",10e penning Heemstede fol 32 no 34,,
2011681,1561,Cornelis ,Cornelisz,Cornelis Cornelisz huurt van het Bernardietenklooster te Heemste 5 morgen 1 ½ hont weytlants voor 90 R gld,10e penning Heemstede fol 8v no 77,,
2011682,1561,Cornelis ,Dircsz,"Cornelis Dircsz huurt een cleyn huysken te Heemstede, de eigenaar is Dirck Jacobsz, wonende binnen Heemstede, huur 3 R gld",10e penning Heemstede fol 30v no 18,,
2011683,1561,Cornelis ,Dircsz,"Cornelis Dircsz bruijct zijn eygen cleyn huysken met 1 morgen hooch teellant te Heemstede, getaxeerd op 6 R gld ",10e penning Heemstede fol 29 post 6,,
2011684,1561,Cornelis ,Gerritsz,"Cornelis Gerritsz te Haarlem verhuurt ca 7 ½ morgen teeland en weytland [te Bennebroek], huur 74 R gld; 1544: morgenboek no 27; 1569: 100e penning, 6 morgen, eigenaar Jan Tul, bruiker Anthonis Jacobsz",10e penning Heemstede fol 4 post no 31; Morgenboek no 27; Kohier 100e penning 4v post 4,,
2011685,1561,Cornelis ,Jansz,"Cornelis Jansz bewoont zijn eigen huis met 4 ½ hont teelland, getaxeerd op 18 R gld, te Heemstede; 1544: morgenboek no 4 ""dat middelbon""",10e penning Heemstede fol 29v no 9; Morgenboek no 4,,
2011686,1561,Cornelis ,Jansz,"Cornelis Jansz en Symonsz [sic] huren van Anna Jansdochter te Mechelen 14 morgen hooch teellant en weylant te Heemstede, huur 80 R gld",10e penning Heemstede fol 29 no 5,,
2011687,1561,Cornelis ,Joosten,Cornelis Joosten te Haarlem verhuurt een huis met 5 ½ hont teelland te Heemstede aan Adriaen Symonsz,10e penning Heemstede fol 38v no 99,,
2011688,1561,Cornelis ,Liclaesz,"Cornelis Liclaesz huurt een huis met ca 5 ½ morgen 2 hont  teel- en weytland onder malcanderen te Heemstede, eigenaar: Claes Jansz, wonende te Haarlem, huur 82 ½ R gld",10e penning Heemstede fol 31 no 26,,
2011689,1561,Cornelis ,Nanningsz,"Cornelis Nannincxz bewoont zijn eigen huis te Heemstede met 1 morgen 2 hont teelland, getaxeerd op 26 R gld",10e penning Heemstede fol 32v no 41,,
2011690,1561,Cornelis ,Nanningsz,"Cornelis Nanningsz bruyct zyn eygen landt ende is groot ca 5 hont weytlants, getaxeerd op de somme van 10 R gld; 1569: ""vyff hondt lants"" [Bennebroek]",10e penning Heemstede fol 7v no 69; Morgenboek no 69; 100e penning 1569 fol 9 no 3,,
2011691,1561,Cornelis ,Symonsz,"Cornelis Symonsz heeft gehuurd de Heemsteder duinen, van de zuidzijde van de Kennemerbeek af tot de vrijdom van die van Haarlem toe; eigenaresse is de vrouwe van Driebergen, wonende te Leiden. De bruiker heeft over 1561 niet betaald, ergo hier niet; 1569: Cornelis Symonsz, koeijer, bruict van Vincent van Lockhorst de duinen van Heemstede om 154£ per jaar",10e penning Heemstede fol 39v no 1; 1569 100e penning fol 46v,,
2011692,1561,Cornelis ,Symonsz,"Cornelis Symonsz bewoont zijn eigen huis met 1 ½ hont teelland, getaxeerd op 12 Kar gld",10e penning Heemstede fol 38v no 100,,
2011693,1428-1429,Cornelie ,Claes Hughenzdr,"op 1428-09-17 koopt Kateline Heijn Poppenzs een lijfrente van 5 nobel op Haarlem, ten lijve van Zoete en Cornelis, dochters van Claes Hughenz voor 168 £ (fol 44v); 1432-1433: (fol 24) hun rente 9 £ 13sc 4d; 1435-1436: 15 £ 6sc 8d (fol 44v); 1441-1442: (fol 18) Cornelye bij handen van Katheline Heyn Poppenzoens 8£; 1442-1443: (fol 39v) als hiervoor 8£ 15sc",Thesauriersrekening Haarlem,,
2011694,1430,Cornelie ,,"Cornelie en haar man Olaert Hughen Olaertsz.z, Zierikzee, rente op Haarlem 13 £ (184 fol 81); 1428-1429: (fol 45) op 1428-09-17 koopt Olaert Hughe Olaertsz een lijfrente van 7 ½ nobel per jaar op Haarlem ten lijve van Cornelien Olaert Hughenzdochter en van ............. [open] voor 252£",Thesauriersrekening Haarlem,,
2011695,1473,Cornelie ,Reijer Heynricszdr,"Cornelie, dochter van Reijer Heynricsz, oud 10 jaar, koopt lijfrente van 20 R gld op Haarlem voor 240 £, Leiden (221 fol 15v)",Thesauriersrekening Haarlem,,
2011696,1466-1467,Cornelie ,Foyssendr,Cornelie Foijssendochter te Leiden koopt een lijfrente van 11 R gld op Haarlem voor 132 £ (215 fol 8v),Thesauriersrekening Haarlem,,
2011697,1587-07-24,Cornelisge,Cornelisdr,"Marytgen Pietersdochter de Witte, te Haarlem, leent 60 Kar gld aan Cornelisgen Cornelisdochter te Alkmaar",O.R.A. Alkmaar 311 fol 188,,
2011698,1562-11-10,Neeltie,,"Neeltie, Willem Dirksz weduwe, wordt moeder van het nieuwe gasthuis te Delft",Bortet: Delft p 335,,
2011699,1537-11-10,Neeltie,,"Neeltie, vrouw van Cornelis Lourys, wordt moeder van het oude gasthuis te Delft",Bortet: Delft p 333,,
2011700,1522,Neel,Ewoutsdr,"Neel Ewoutsdochter was geld schuldig aan Pieter Hendriksz, de toenmalige schout van Pynacker; gezworenen wezen haar huis aan Pieter toe",Grote Raad Mechelen Beroepen Holland dl IV dossier 309,,
2011701,1612-07-31,Neel,Gerbrandsdr,"Neelken Gerbrantsdochter verkoopt aan Engel Niclaes, schout van Haarlem, 3 morgen weiland onder de Voormolen aan de Liede, [Haarlemmerliede]","Protocol Schoten, Haarlemmerliede en Akendam fol 95",,
2011702,1618-05-07,Cornelis ,Abrahamsz,"Martigen Theunisdochter, weduwe van Cornelis Abrahamsz, te Schoten","Protocol Schoten, Haarlemmerliede en Akendam fol 38",,
2011703,1524-1531,Neeltgen,,"Ysbrand Pietersz had 1519-09-20 een rente gekocht op land bij Delft tussen Den Haag en Rijswijk, Almkerk, het land van Altena en Putten; de rente werd niet betaald en er volgde een proces over de executie; zijn weduwe Neeltgen stierf en liet als erfgename Soetgen na",Grote Raad Mechelen Beroepen Holland dl IV dossier 326,,
2011704,1561-08-23,Cornelis ,Daemsz,"Cornelis Daemsz, schout van Moordrecht",Grote Raad Mechelen Beroepen Holland dl VI dossier 564,,
2011705,1467-1480,Cornelis ,Adriaensz,schepen van Dordrecht: Cornelis Adriaensz,Balen: Dordrecht p 294-297,,
