id,datum,naam,inhoud,bron,getuigen,bijzonderheden,
1110645,1500~1530,"Lee, van der","Govert van der Lee Staasz, schepen van Dordrecht x Margaretha Quekel, hieruit kinderen",Batavia Illustrata bl 1052,,,
1110646,1570~1600,"Ledenberg, van","Van Ledenberg, vrouwe van Willige Langerak x Cornelis van Cuyk van Myerop",Batavia Illustrata bl 1017,,,
1110647,1369-11-02,"Ledige, de",leen van Amstel: Willem de Ledeghe heeft 3 morgen land ontvangen die hem aankwamen van zijn vader Wouter,R.A.H. fol 21/Reg Albrecht IV fol 121v,,,
1110648,1330-10-24,"Ledige, de","leen van Amstel: no 116) [Loosdrecht] een hofstede in Mynden in het gerecht van de bisschop, belend noord en zuid: Willem van Teylingen, oost: de Vechtdijk, west: de Brededijk, beleend Willem de Ledige voor 8 £; 1390: Willem de Ledige Dircsz met de ledige hand; 1393-01-01: Willem de Ledige ten eigen ","Ons Voorgeslacht 09-1988 p 401/Berkelbach v.d. Sprenkel: Regesten Bisschoppen van Utrecht no 963, 964",,,
1110649,1330-10-31,"Ledige, de","leen van Amstel: no 121) 3 morgen in Mynden in het gerecht van de bisschop, Wouter de Ledige voor 18 £ per morgen, belend noord: heer Harparen van den Bossche, oost: de Brededijk, zuid: de Obbenlaan, west: de Meensloot; 1351-12-17: Gysbert die Ledige Woutersz; 1369-11-01: Willem die Ledige na dode van zijn vader Wouter; 1390: Willem de Ledige Gysbertsz met de ledige hand; 1411-07-10: zijn vader Gysbert de Ledige na dode van Willem [of: Gysbert na dode van zijn vader ?]; 1424-07-26: Gysbert Gysbertsz na dode van zijn vader; 1436-03-14: Gysbert Gysbertsz; 1451-08-14: Gysbert Gysbertsz na dode van zijn vader; 1476-06-12: Gysbert Gysbertsz na dode van zijn vader; 1515-06-21: Valentijn van der Voort na overdracht door zijn schoonvader Gysbert Gysbertsz","Ons Voorgeslacht 09-1988 p 401-403/Berkelbach v.d. Sprenkel: Regesten Bisschoppen van Utrecht no 963, 964",,,
1110650,1390,"Ledige, de","leen van Amstel: no 114) 2 ½ morgen in Loenen in het gerecht van de bisschop, belend noord: Hein Boterman, oost: Claes die Roeper, west: de leenheer, zuid: de kerk van Loenen, 1390: Willem de Ledige met de ledige hand; 1393: Willem die Ledige ten eigen, belend noord en oost: jonge Hugo van Loenersloot, zuid: de kerk van Loenen, west: de leenheer",Ons Voorgeslacht 09-1988 p 404,,,
1110651,1393-1394,"Ledige, de","rekening rentmeester Woerden: Willem Jan Volcurenz en Claes die Ledighe samen 12 morgen, voor 5 £ 10sc; 1394-1395: dezelfde post, huur nu 6 £ ","R.G.P. 182 p 144, 157/Rek Rentmeester Woerden fol 1v",,,
1110652,1410~,Leding,"leenregister Culemborg: de mannen van de heerlijkheid van Ackoije: - Dirck Claes Ledingen dochter 14 hont op de Uterwert te Ackoy, tussen de dijk en de Linge, belend boven: Alaert Jansz en beneden: Herman van Wulven; 1422-04-14: hulde doet Gerijt Louwe; 1423: Dirck wordt opnieuw beleend",Leenregister Culemborg fol 98,,,
1110653,1369-1370,"Leec, van der ","Pauwels van der Leec, afterstal van 1369 van de Rijsdam en de Leec, 43 sc",Rek Rentmeester Kennemerland 814 fol 5,,,
1110654,1489-1507,"Leek, van",schepen of burgemeester van Hoorn: Jan Jansz  van Leek,Velius: Chronyk van Hoorn p 6,,,
1110655,1490-1514,"Leek, van","burgemeester van Hoorn: Jan Jansz Lysing, zwager van Jan van Leek, daarom ook wel Jan van Leek genoemd; 1514 sterft hij",Velius: Chronyk van Hoorn p 7,,,
1110656,1508-1513,"Leek, van","schout van Hoorn: Jan van Leek de jonge; 1521 en 1527: Jan van Leek de jonge alias Abbas, schepen","Velius: Chronyk van Hoorn p 10, 12",,,
1110657,1452-1453,"Leeck, van der","Jacop van der Leeck gestorven ter Leeck en 2 erfgenamen naliet in Oostvriesland, is gedadinct van zijn besterfte voor 4 £ 18sc",Rek Rentmeester Kennemerland 883 fol 13v,,,
1110658,1454-1455,"Leeck, van der","gestorven Katrijn vrouw van Coptgens van der Leec, in Scellinchout; een van de erfgenamen in Vriesland gedadinct voor 4 £ 18sc",Rek Rentmeester Kennemerland 855 (885 ?) fol 15,,,
1110659,1461-1462,"Leeck, van der","Alyt Jan van Leecx weduwe gestorven te Hoorn, die een erfgename had in Oostvriesland, gedadinct van besterft, voor 3 £ ",Rek Rentmeester Kennemerland 892 fol 18,,,
1110660,"1399, 1401","Leede, van der","Johan van der Leede, 8 £, 3 dagen, afterstal; 1401: Johan van der Lede, idem",Mnd Rek Zwolle p 1 1399 en 1401,,,
1110661,1621,"Leemputte, van den",schepen van 's Hertogenbosch: Jan van den Leemputte,Navorscher 1890 p 580,,,
1110662,1621-12-04,"Leemputte, van den","Guiljaem van den Leemputte, koopman van wijnen te Rotterdam compareert",Ned Leeuw jg 1913 p 68/Notaris Paets Leiden regest 181,,,
1110663,1703-09-28,Leegwater,"losrenten kantoor Alkmaar: verschijndag 06-15, Arien Symonsz Leegwater en Claes Gerritsz Wit, fl 1000 - fl 40",Arch. Gecommiteerde Raden van het Noorderquartier Inv 51,,,
1110664,1270-12-08,Leen,"Thomacinus van Noordwijk en zijn vrouw Hadewy vermaken aan de abdij Egmond 1 ½ viertel land, die hij en Jacobus dictus Liene vroeger van de abdij gekocht hadden",De Fremery no 160,,,
1110665,1533-1541,Leenkis,"schepen van Alkmaar: Gerrit Jacobsz Leenkis, gestorven 1541",Bruinvis: Alkmaar p 27,,,
1110666,1662-06-04,Leenen,"leen van Vianen: no 667) Weyert Adriaensz, Pieter Bastiaensz, Cornelis Leenen en Pieter Anthonisz Stolkenaar, executeurs test van Gysbert Imertsz de Grote, die van Vianen in leen hield 3 morgen te Cortenover (Lexmond)",Ons Voorgeslacht 07/08-1988 p 298,,,
1110667,1338,Leenheer,"Tetrode van beesten: Symon Leenhere, 7 scare aan vee, 2 scare aan paarden, 1 eenwinter, 14 sc",Rek Houtvester dl VII p 9,,,
1110668,1550~1600,"Leeraart, van",Herman van Wytenhorst x -- van Leeraart,Batavia Illustrata bl 891,,,
1110669,1640-01-18,"Leent, van","leen van Vianen: no 706) 2 ½  morgen in Outena, Gerrit van Leent, procureur te Vianen, doet de leeneed voor Elisabeth van Vianen na dode van haar tante Machteld van Heteren","Ons Voorgeslacht 07-1988 p 318, 323 (no 710)",,,
1110670,1410~,"Leersum, van","leenregister Culemborg: - Jan van Leersum 3 morgen 1 hont te Coten op het Velt, met lijftocht voor zijn vrouw Margriete",Leenregister Culemborg fol 23v,,,
1110671,1511,"Leersum, van~",schepen van Rotterdam: Nicolas Borre van Laersum [van Leersum ?],De Raadt I p 295,,,
1110672,1644-01-15,leertouwer,"losrenten kantoor Enkhuizen: verschijndag 02-01, Cornelis Freecksz, leertouwer, fl 1000 - fl 40",Arch. Gecommiteerde Raden van het Noorderquartier Inv 51,,,
1110673,1410~,Leest,"leenregister Culemborg:( latere aantekening) - Jan Leest dat Gerijt Schaep opgedragen heeft, ½ hoeve op Rietvelt, belend boven: Gerijt Scaep, beneden: Kyllestein; - Peter Jan Leestkensz, 1 akker land van 7 hont, belend boven: Peter en zijn moeder, beneden: de steghe; - Ghijsbert van Culemborg, bastaard, o.a. de tiende over de straat, ½ morgen 85 roeden op Redichemervelt, belend boven: Ghysbert van Culemborg en Geryt Scaep, beneden: Jan van Vrancrijk en Peter Leest (fol 54: Peter Jan Leestkijnsz)","Leenregister Culemborg fol 5, 6, 53v en 54",,,
1110674,1118-1127,"Leesten, van",Dirk bisschop van Munster geeft aan Constantijn van den Bergh de advocatie over de kerk te Zutphen terug; onder de getuigen o.a. Wenzo [van Leesten],Sloet no 229,,,
1110675,1129-1138,"Leesten, van","Andreas, bisschop van Utrecht, verklaart dat graaf Gerard van Gelre de kapel met de tienden te Ellekom aan de kerk te Zutphen geschonken heeft [verdacht]; onder de getuigen: Wenzo de Lestnon",Oorkbk Sticht Utrecht no 324,,,
1110676,1134-02-02,"Leesten, van","Andreas, bisschop van Utrecht, oorkondt dat Ermgard , gravin van Zutphen de kerk te Lochem aan de kanunniken der kerk te Zutphen geschonken heeft; onder de getuigen: Wenzone de Lesten",Sloet no 268,,,
1110677,1313-10-15,Leeuw,"Henricus de Heessel, zijn vrouw en zijn zoon Hubertus verkopen 8 jugera in Deyl super Vrowijc voor 200£ ",Cartul Marienweerd no 148,"borgen:  Henricus Graet zoon van Wilhelmus, Henricus Lewe de Horwinen, Johannes de Horwinen commorans Heessel, Hubertus Lewe de Heessel",,
1110678,1325-05-20,Leeuw,"Gerardus zoon van Huberto dicti Lewe heeft verkocht aan Henricus de Werve tbv Marienweerd, een halve camp inhoudende 11 jugera in Eynspijc, tussen Marienweerd en Hubertus Koecboen; Henricus, Albertus, Sanderus, zoons van Albertus Audscalc, Johannes uten Beemden met zijn vrouw Aleyde en Godefridus Faber met zijn vrouw Helwige doen afstand; 1319-05-20: was dit land verkocht aan Godefridus Faber tbv Alberti Audscalc, soceri sui",Cartul Marienweerd no 256,borgen: Hubertus Lewe en Godefridus Faber; schepenen: Goswinus de Werva en Wolterus Scaep,,
1110679,1327-11-09,Leeuw,"Gerardus zoon van Hubertus Leu verkoopt voor de schepenen van Santbommel voor 30 £ land gelegen in Eynspijc, tussen erven Albertus Audscalc  aan beide zijden, aan de abdij Marienweerd",Cartul Marienweerd no 292,borgen: zijn zoons Hubertus en Rutgherus Lew,,
1110680,1343,Leeuw,"ontvangsten van huur in Haerlem an hofsteden: - Gheraert Wye van der camer, die Alijt Jans Lewen was, 6 sc",Rek Rentmeester Kennemerland,,,
1110681,1361-1362,"Leeuw, de","Jan de Leeuw timmert op het huis Middelburch 3 dagen, 18sc",Rek Rentmeester Kennemerland 809 fol 17 ,,,
1110682,1393-03-28,Leeuw,"Dirc van Zulen heer van Zevender, knape, geeft aan de vrouw van Henric Lewen vonnis inzake de beschikking over 22 morgen in het land van Steyn, die zij van hem in leen houdt; 1408-08-26: dit leen wordt gehouden door Ghisebrecht van der Vliet Gherytsz, die het geerfd had van zijn moeder Elisabeth",Arch Klooster Emaus in het land van Steyn regest 4,,,
1110683,1404,Leen [Leeuw ?],Raad in Dordrecht: Willem Leen ,Balen: Dordrecht p 282,,,
1110684,1410~,"Leeuw, de","leenregister Culemborg 1422-04-06: de mannen van de heerlijkheid van Ackoije: - Otto Goedvartsz, 5 morgen land in Donkersloot, belend boven: Brusten van Ackoye, bastaard, beneden: Geryt van Ackoye, bastaard en Dirc Splinter, opgedragen door Louwe Aerntsz en Gysbert de Lewe; 1423: opnieuw beleend ",Leenregister Culemborg fol 90,,,
1110685,1430,Leeuw,"Marie Pieter Leeuwendochter gehuwd met Willem Danielsz de scrienmaker, Dordrecht, rente op Haerlem ½ jaar, 8 £ 12sc (184 fol 88v); 1440: idem (195 fol 64v), leest: Marie Pieter Louwendochter; 1428-1429: (fol 39) zij kopen deze lijfrente van 12 Wilh schilden per jaar op Haarlem op 1428-09-17, voor 173£ 8sc; 1442-1443: (fol 56) Willem Danielsz de scrijnmaker en Maritgen Pieter Leewendochter, 16£ 16sc",Thesauriersrekening Haarlem,,,
1110686,"1480, 1485","Leeuw, de","schepen van 's Hertogenbosch: Hendrik de Leeuw, met zijn zegel",Navorscher 1890 p 580/De Raadt II p 329,,,
1110687,1497-1498,Leeuw,"Jacob Leeuw, schout en slotvoogd van Gouda",Grote Raad Mechelen Beroepen Holland dl I dossier 12,,,
1110688,1559,Leeuw,"Jacob Jacobsz Leeuw, Albert Pietersz van Hoegelant, Jan Jacobsz Leeuw c.s. gedaagd door de erfgenamen van wijlen Symon Harcxz, o.a. Jan Harckez en Sybrant Jansz uit Warmenhuizen, die het vruchtgebruik had gehad van de nagelaten goederen van wijlen Egelyn Albertsz en Guerte Albertsdochter, geproffeside non in het jonge Hof te Alkmaar",Grote Raad Mechelen Beroepen Holland dl VI dossier 545,,,
1110689,1350~,Leeuwart,"in Zoelmond: Pontianus Leewart (doorgehaald en met latere hand: Lambertus Zuermont ad opus ...), 3 jugera op Weythusenrevelt, tussen de heren van St Martin en Pontianus zelf",Goederenlijst Abdij Marienweerd,,,
1110690,,"Leeuwen, van",stamreeks Van Leeuwen,Kroniek Hist Gen Utrecht 1853 p 242/Navorscher 1876 p 372 e.v.,,,
1110691,1281-1284,"Leeuwen, van",lenen ten tijde van Floris V: no 170) Willem van Lewen 5 £ uit de herfstbede van Arlenderveen,De Fremery no 228,,,
1110692,1285-10-16,"Leeuwen, van","brief van Wouter van Amersfoord, ridder, waarin hij zich verbindt zich jegens graaf Floris terzake van de paarden die hij de abt van Oostbroek had ontnomen, te Rhenen in leisting te komen ",De Fremery no 236," aanwezig: Gheraert van Lewen, Sander van Bilare, Ghysebrecht van Dubbe",,
1110693,1316,"Leeuwen, van","uitgaven uit de renten van Rijnland, de lentebede in Arlenderveen: heer Dirric van Outsorne, 5 £; van de herfstbede in Arlendervee: Willem van Lewen, 5 £ ",Rek Hen Huis I bl 66,,,
1110694,1323-09-06,"Leeuwen, van","grafelijk leen in Rijnland: no 30) 10 morgen in Alphen, belend noord: de kapelrie van Aarlanderveen, oost: Floris bastaard van heer Walewijn van Sassenheim, zuid en west: heer Walewijn van Sassenheim; 1323-09-06: Dirc van Leeuwen koopt dit leen van de rentmeester van Noordholland, na dode van Didde Brede (1281: Gerrit Brede vermeld)",Ons Voorgeslacht 06-1987 p 400,,,
1110695,1330-05-17,"Leeuwen, van","grafelijk leen in Rijnland: no 38) 10 morgen met de woning waar Dirc van Leeuwen op woont te Alphen (huis te Leeuwen), belend noord: de Rijn, oost: Erkenraad Boudekins (1342 belend oost: Willem Erkenradenz), zuid: Floris Maasz, west: heer Dirc van Oudshoorn en Dirc van Leeuwen, 1330-05-17: Dirc van Leeuwen bij opdracht in ruil voor no 30); volgende beleningen zie no 37)",Ons Voorgeslacht 06-1987 p 403,,,
1110696,1331>,"Leeuwen, van","graaf Willem beleent Willem van Leeuwen met 10 morgen te Alphenhoorn en geeft Gerrit van Boschuysen, diens zwager, een vrij eigen van 10 morgen, Bollandsweer genaamd",Reg Hann p 303/Reg EL 32 fol 25v,,,
1110697,1337-09-14,"Leeuwen, van",bevestiging van de lijftocht door Gerrit van Buschuysen aan zijn vrouw Alide Dirksdochter van Lewen op zijn land in Buschusen,Reg Hann p 247/Reg EL 32 fol 21,,,
1110698,1339-12-06,"Leeuwen, van",Aechte Hermansvrouw van Leeuwen ontvangt verlof om overal in Vriesland bier te tappen,Reg Hann p 266/Reg EL 32 fol 79v,,,
1110699,1339-12-09,"Leeuwen, van","grafelijk leen in Rijnland: no 37) 15 morgen in Alphen, in de woning van de leenman [huis Leeuwen] te Alphenrehorne, groot 34 morgen, geheel belend, noord: de Rijn, oost: heer Dirc van Brederode, zuid: Jacob Maas, west: de leenman gemeen met zijn moeder; 1339: Willem van Leeuwen zoals wijlen Dirk van Leeuwen, en krijgt 10 morgen ten eigen voor zijn zwager Gerrit van Boshuizen, in ruil voor 10 morgen, genaamd Bollandsweer, belend noord: de Rijn, oost: Arnoud Ysbrandsz, zuid: Jan van Sassenheim, west: Floris van den Tol; 1342-12-08: lijftocht van Badelog dochter van Arnout Dircsz, gehuwd met Willem van Leeuwen, op de mindere helft; 1346: Willem van Leeuwen. De volgende beleningen zie no 7)","Ons Voorgeslacht  06-1987 p 402, 403, (12-1987 p 402)/Reg Hann p 286/Reg EL 32 fol 32v (1342-12-08)",,,
1110700,1343,"Leeuwen, van",uitgaven uit de herfstbede: Airlenderveen aan Willem van Lewen 5 £ ,Rek Hen Huis II bl 40,,,
1110701,1346-06-01,"Leeuwen, van","lenen in Rijnland: Willem van Lewen - 20 morgen in Alfen, belend oost: Heinric Willemsz, west: hij zelf met eigen; - 7 morgen in Alfen, belend oost: Willem Heynenz, west: hijzelf; - 5 £ per jaar uit het schot van Arlevene","Bijdr Hist Gen 1901 bl 273, 274/Reg EL 5 fol 102r",,,
1110702,1349-1350,"Leeuwen, van","Herman van Leeuwen van de sluis te Scaderdam, 18 gr (798 fol 14v, 35) en afterstal: 1351-1352: van de sluis in de Scaderdam (fol 13, 35v) en afterstal; 1354-1355: (801 fol 11) van sinen verboernisse, 61 £ ",Rek Rentmeester Kennemerland,,,
1110703,1351-1352,"Leeuwen, van","Reyner van Leeuwen, van zwanen; 11350-1351: afterstal van zwanen","Rek Rentmeester Kennemerland 800 fol 6, 799 fol 36v",,,
1110704,1355-07-09,"Leeuwen, van","Willem van Lewen aangenomen tot knape van de graaf, wedde 20 £ Holl per jaar en zijn clederen",A.R.A. Leenkamer 32 Copie fol 109/Reg EL 25 fol 71,,,
1110705,1394,"Leeuwen, van","uit de herfstbede van Rijnland, in Arlenderveen: - Dirc van Leeuwen, 5 £ ","Rek Rentmeester Noordholland fol 36v, gedrukt p 72",,,
1110706,1410~,"Leeuwen, van","leenregister Culemborg: - Geryt van Wijc 2 morgen in Rijswiker maelscap, belend boven: de heer van Culemborg, beneden: Herman van Oemeren Gerytsz; latere aantekening: dat heeft Herman van Lewen Jansz gelijk hier achter in het boek staat; - Aernt van Oemeren (doorgehaald en vervangen door Belije vrouw van Otten uten Weerde) - 2 acker in Rijswiker maelscap, belend boven: Ot van Wijc, beneden: Wendelmoet Doijs; - ½ akker, belend boven: Wendelmoet Doys, beneden: mijn vrouwe van Gulick; latere aantekening: Herman van Lewen Jansz bezit deze lenen, het 1e belend boven: de kinderen van Otte van Wijc, beneden: Wenmer van der Steenhuze, het 2e belend boven: Wenmer van den Steenhuze, beneden: mijn vrouwe van Gulick","Leenregister Culemborg fol 5v, 6",,,
1110707,1410~,"Leeuwen, van","leenregister Culemborg: - Aernt Seele (boven: Herman van Lewen Geritsz) een crommen acker, 9 ½ hont, belend boven: Willem van den Woerde Willemsz, beneden: Herman van Lewen Hermansz; - Jan van Liesvelt 3 morgen in Rijswiker Duvenstert, belend boven: de paep van Rijswijc, beneden: Jan van Lewen; - Otte van Wyck Ottenz, 4 morgen in Rijswiker maelscap, belend boven: Loef van Lewen en Johan Diericksz, beneden: Florens van den Werve; - Herman van Lewen Geritsz beleend met het leen (2 acker) van Willem van den Werve in Rijswiker maelscap, strekkende van het Graefken tot aan Heeswijcxkamp, belend boven: de heer van Buren, beneden: Florens van den Werve; 1421: beleend Jan Zuermont","Leenregister Culemborg fol 16, 18v, 37",,,
1110708,1410~,"Leeuwen, van","leenregister Culemborg: - Geryt van Delf een kamp gelegen achter Ravenswade, geheten Scijpskamp, belend boven: Johan van Leeuwen, beneden: de Ravenswaedse stege; - een kamp achter Ravenswade de Middelkamp geheten, belend boven: Johan van Leeuwen en beneden: Dierck van Heeswijck en Roelof Aerntsz, strekkende van de Middelwech tot aan Huberts achterste kamp van Mijnden; opgedragen door Hubert van Mynden, heeft nu: Lambert van der Weteringe",Leenregister Culemborg fol 61v,,,
1110709,1410~,"Leeuwen, van","leenregister Culemborg: - Herman van Lewen Johansz van Lewen: - 3 morgen in de maelscap van Rijswick, van de bandijk tot aan de halve middelwech, belend boven: Geryt van Wyck, beneden: de hertog van Gulick, -  3½ morgen in Rijswiker maelscap tussen de Grippel die achter de koelkule ligt en de Lecke; - 2 morgen int Overbroeck, van de Broecksteeg tot aan het land van Alijde, vrouw van Gerrit van Puyflick, belend boven: de heer van Culemborg, beneden: Rolant Heymericxz en Stevensdochteren van Buesinchem; - 20 hont aldaar, strekkende van het middelpad tot aan die mere en het gasthuis van Wyck, tot aan de Heeskamp toe, belend beneden: Roelant Heijmericxz, na zijn dood te komen op zijn oudste dochter Mechtelt, indien zij kinderloos sterft op haar oudste broer of zuster",Leenregister Culemborg fol 63,,,
1110710,1410~,"Leeuwen, van","leenregister Culemborg: - Alyt van Lewen Hermansdochter 20 hont in de maelscap van Rijswick in het Overbroeck, boven gelegen: heer Johan van Kulenborg, de heer van Abkolde van der Mere, beneden: de kinderen van Steven van Buesinchem; - Geryt Doys van Lewen (doorgehaald en vervangen door zijn zoon Herman), een hont en 10 roeden in Ryswicker maelscap, van de bandijck tot aan de boomgaard van Reyner Loef, belend boven: Rijswicker stege, beneden: Reyner Loef: - een morgen in Ryswicker weert, strekkende van de bandijk tot aan de Zydwinsdijck, waar de molen op staat, belend boven: Ryswicker stege, beneden: Arnt Scele Volquinsz","Leenregister Culemborg fol 63, 63v",,,
1110711,1410~,"Leeuwen, van","leenregister Culemborg: - Otte van Wyck Ottenz 4 morgen in Rijswicker maelscap, belend boven: Loef van Lewen en Johan Diercksz, beneden: Floris van den Werve; - Johan Pels, na opdracht door Johan van Kulenborg in de maelscap van Rijswijk 25 ½ morgen land in het overbroek, van het middelpad tot aan die meere, belend boven: Arent Neude, beneden: Herman van Lewen Jansz; - Ponsken van Utwijck heeft ontvangen van zijn stiefvader Herman van Lewen Hermansz 1 acker land in de maelscap van Malderick, geheten het Kromlant, strekkende van de weg die aan Herman van Lewens hofstede gaat tot aan de Woerdsche Hof, belend boven: de kinderen van Willem van der Woerd, beneden: Ponsken en Ruever van der Woerdt","Leenregister Culemborg fol 64, 64v, 76",,,
1110712,1410~,"Leeuwen, van","leenregister Culemborg: - Heinrick Loef van der Werve Willems een stuk land in de maelscap van Rijswijck, strekkende van half de dweergrave tot aan de Broeckstege, belend boven: Otte van Wijck tot aan de Wyde kamp en Jan van Lewen tot aan de Broeckstege, beneden: Hadewich Jansdochter van Lewen; - Willem van den Werve Florisz een stuk land in de maelscap van Rijswijck in de Nederbroeck, strekkende van de Broecstege tot aan de Zoelen, belend boven: Otte van Wyck en zijn broer Willem van Wyck, beneden: heer Jan van Vyanen van Beverweerde en de kinderen van Herman van Leeuwen; - Geertrut Jansdochter van Lewen, vrouw van Ponsken Jansz, opgedragen door Alart uten Weerde, 7 hont in Ryswyker maelscap, strekkende van de polre tot aan de Wyfdyk, belend boven: Jorden Doijs, beneden: de hertog van Gelre","Leenregister Culemborg fol 76v, 78",,,
1110713,1410~,"Leeuwen, van","leenregister Culemborg: - Herman van Lewen Geritsz, opgedragen door Geryt van Wijck, 4 morgen 2 hont in de maelscap van Ryswick, van de Weertgrave tot aan de Broeckstege toe, belend boven: Jorden Doijs en Geryt Doys Gerytsz, beneden: Lysbet Jan Gysbertsz en haar kinderen; - Henrick Ponciaensz een akker land in Rijswicker maelscap, zoals de brief van Herman van Lewen Hermansz, manne: Herman van Lewen Jansz; - Herman van Lewen Jansz een hofstad met  toebehoeren in Rijswicker maelscap, van de bandijk tot aan de middelweg, belend beneden: de vrouwe van Gulick, boven: Loef van den Werve; - Herman voors 3 ½ morgen in Rijswicker maelscap tussen de Grippel die achter de Hoelkule ligt en de Leck, belend boven: de paepelicke provende van Rijswijck en beneden: Johan van Lewen","Leenregister Culemborg fol 84, 84v, 58v",,,
1110714,1363-08-04,"Leeuwen, van",hertog Albrecht verkoopt aan het land van Utrecht een uitwatering ,Van Mieris III p 156,"Ryner Dever, ridder; Hendrik van Alcmade Ysbrantsz, Florens van Alfen, Ysebrand van der Scuure, Willem van Lewen, Diddeboey van Catwijck, Bouden Johansz, knapen, heemraden van Rijnland",in een andere oorkonde van dezelfde dag met dezelfde getuigen heet Willem van Lewen: Willem van Schouwen,
1110715,1421-01-07,"Leeuwen, van",leenmannen van de heer van Culemborg: Herman van Lewen Jansz en Ponsken van den Velde,Leenregister Culemborg 1410~ fol 64,,,
1110716,1422-10-13,"Leeuwen, van","leenregister Culemborg 1410~: - Johan Pels een stuk land in de maelscap van Ryswick in het Overbroeck, 25 ½ morgen en 26 roeden, geheten Brede mate, belend o.a. Herman van Lewen Jansz",Leenregister Culemborg 1410~ fol 92,,,
1110717,1423-07-24,"Leeuwen, van","leenregister Culemborg 1410~: - Lambert van der Weteringe 24 morgen in de maelscap van Ryswick, van de Leck tot aan de Broecsteghe, belend boven: de kinderen van Alart van Ravenswade en de erfgenamen van Johan van Lewen, beneden: St Nicolaes van Ravenswade, Willem Bernts erve Alart Stevens kinderen",Leenregister Culemborg 1410~ fol 95,,,
1110718,1423-07-28,"Leeuwen, van","leenregister Culemborg 1410~: - Johan Ottenz 4 morgen in de maelschap (zonder plaats), belend boven: Herman van Lewen Hermansz, beneden: Willem van Heteren",Leenregister Culemborg 1410~ fol 97,,,
1110719,1424,"Leeuwen, van","leenregister Culemborg 1410~: - Belije Otten dochter van Wyck, vrouw van Herman van Lewen, 1 acker land in Wycker maelscap, belend boven: Jan Zurmont, beneden: Herman van Lewen, strekkende van de bandijk tot aan de Leck",Leenregister Culemborg 1410~ fol 94,hier waren over: Jan Philipsz en Herman van Lewen Hermansz,,
1110720,1418,"Leeuwen, van","Herberen van Lewen, ridder, zegelt een akte tussen edelen en steden van Gelre",De Raadt II p 329/Arnhem Rekenkamer,,,
1110721,1450-01-07,"Leeuwen, van","Jacob van Wassenaer, burggraaf van Leiden, erkent Willem van Leeuwen, bezitter van 7 morgen land, voortkomend uit de ridderlijke hofstede van Leeuwen onder Alphen, met het recht om 2 paar oude zwanen en de jongen te voeden en te drijven in de Rijn, tussen Swammerdam en Leiden, voor zijn neef en ""diensvolgens voor een goed edelman""",Batavia Illustrata bl 342,,,
1110722,1475~,"Leeuwen, van","in Loen en Herpen: de heren van Xanten hebben 4 ½ roeden dijk, belend boven: Johan Willemsz van Leeuwen, beneden: Maes Moliaert",Quellen Stift Xanten p 581,,,
1110723,1483-07-18,"Leeuwen, van",schepen van Gorinchem: Dirk van Leeuwen Jansz ,Grote Raad Mechelen Beroepen Holland dl II dossier 130/1,,,
1110724,1496-07-30,"Leeuwen, van","Jacob van Leeuwen, deurwaarder; 1494-06-13: sergeant van wapenen; 1509 ±: procureur-postulant bij het Hof van Holland, zou te hoge kosten gedeclareerd hebben","Grote Raad Mechelen Beroepen Holland dl II dossier 163, dossier 158/2 sub II, dl III dossier 232",,,
1110725,1513-01-12,"Leeuwen, van","leen van Vianen: no 695B) de helft van een ½ hoeve te Outena, Jacob van Leeuwen voor zijn vrouw Cecilia dochter van Dirc Tielmansz van Yserlo, na dode van haar broer mr Melis van Yserlo, priester; daarna overdracht voor hun dochter Machteld, gehuwd met Jan Dircsz van Hensberg",Ons Voorgeslacht 07/08-1988 p 311,,,
1110726,1517,"Leeuwen, van","Joost van Swieten transporteert aan het Karthuizerklooster St Barbara te Keulen 59 morgen liggende in het kerspel van Loenen voor het huis te Loenresloot, belend oost en zuid: ant gescheyt van Hollant ende den Gestichte, noord: Albert van Lewen, west: de gemene watergang [het Gein]; 1408, 1474: belend noord: Hendrik Deken",Geld Leenregister Uitheemse Lenen p 33 no 20,,,
1110727,1532-08-09,"Leeuwen, van","leen van Amstel: no 103) 8 morgen te Jutfaas, zijnde een ½ hoeve. Herman van Leeuwen voor Henrik de Jonge, priester; 1583-08-16: Margaretha van Leeuwen weduwe van Jan van der Meer na dode van haar moeder Aleide de Jonge; 1602-04-03: Aleid dochter van Jan van der Meer, gehuwd met Gysbert van Hardenbroec en Wulven, bij dode van haar moeder Margaretha van Leeuwen",Ons Voorgeslacht 09-1988 p 398,,,
1110728,1535-08-06,"Leeuwen, van","huwelijks voorwaarden te Delft, Jannetje Jansdochter van Leeuwen met Willem Cornelisz van Dyk, die toen reeds de pest had; hun bede bastaardkinderen Adriaan en Maritgen stierven zonder nageslacht; 1552-1560: proces",Grote Raad Mechelen Beroepen Holland dl VI dossier 523,,,
1110729,1560-1561,"Leeuwen, van","Claes van Leeuwen Jansz, burger van Leiden, en zijn vrouw Geertgen Evertsdochter contra Gerryt Roelofsz c.s., betreft verm. onder curatele stelling van Claes; er zijn verklaringen dat men nooit iets bijzonders gemerkt heeft",Grote Raad Mechelen Beroepen Holland dl VI dossier 561,,,
1110730,1564-11-06,"Leeuwen, van","Cornelis van Leeuwen, maarschalk van Eemland",Grote Raad Mechelen E.A. dl III dossier 2794/2 sub l,,,
